,words,corr_ans,nonwords,masks
0,perfect,left,gaultless,&&&&&&&&&
1,ban,right,aubos,&&&&&
2,prison,right,synchronazers,&&&&&&&&&&&&&
3,victims,right,strofe,&&&&&&
4,praise,left,ilportation,&&&&&&&&&&&
5,attacks,right,crinking,&&&&&&&&
6,riot,right,fonderland,&&&&&&&&&&
7,powerful,left,thabbily,&&&&&&&&
8,intelligence,left,tenuflect,&&&&&&&&&
9,prosecution,right,chreams,&&&&&&&
10,betrayal,right,clamorek,&&&&&&&&
11,restore,left,mecan,&&&&&
12,corruption,right,lachelor,&&&&&&&&
13,actively,left,chadows,&&&&&&&
14,drug,right,perified,&&&&&&&&
15,faith,left,galamitous,&&&&&&&&&&
16,scandal,right,Boeinf,&&&&&&
17,love,left,chonograph,&&&&&&&&&&
18,respect,left,neneficence,&&&&&&&&&&&
19,good,left,imebreaker,&&&&&&&&&&
20,energy,left,pescinded,&&&&&&&&&
21,forced,right,dramens,&&&&&&&
22,protect,left,stindig,&&&&&&&
23,critics,right,feleological,&&&&&&&&&&&&
24,integrity,left,smapper,&&&&&&&
25,lies,right,noped,&&&&&
26,slavery,right,rivernoat,&&&&&&&&&
27,conspiracy,right,vurtain,&&&&&&&
28,peaceful,left,prones,&&&&&&
29,serial,right,vicissifude,&&&&&&&&&&&
30,peace,left,brudent,&&&&&&&
31,credit,left,disregord,&&&&&&&&&
32,dignity,left,nackers,&&&&&&&
33,death,right,blunderints,&&&&&&&&&&&
34,promises,left,ejanulated,&&&&&&&&&&
35,progress,left,gondensed,&&&&&&&&&
36,compassion,left,wonderfujnoss,&&&&&&&&&&&&&
37,charges,right,fangsters,&&&&&&&&&
38,ability,left,ammessment,&&&&&&&&&&
39,suicide,right,framo,&&&&&
40,fraud,right,alar,&&&&
41,values,left,yane,&&&&
42,positive,,erks,&&&&
43,protesters,right,laming,&&&&&&
44,ensure,left,ebbitter,&&&&&&&&
45,strong,left,pharing,&&&&&&&
46,commitment,left,lursuer,&&&&&&&
47,increase,left,infet,&&&&&
48,penalty,right,unreflectuve,&&&&&&&&&&&&
49,negative,,Daptist,&&&&&&&
50,violence,right,focomotive,&&&&&&&&&&
51,refused,right,grovelire,&&&&&&&&&
52,praised,left,ablow,&&&&&
53,sharing,left,letish,&&&&&&
54,army,right,gationwide,&&&&&&&&&&
55,benefit,left,taxpayung,&&&&&&&&&
56,interests,left,fegard,&&&&&&
57,trust,left,quarterbocks,&&&&&&&&&&&&
58,improve,left,sliptery,&&&&&&&&
59,shot,right,oam,&&&
60,accused,right,slending,&&&&&&&&
61,fear,right,gikely,&&&&&&
62,violations,right,baladroit,&&&&&&&&&
63,rejected,right,brotesque,&&&&&&&&&
64,illegal,right,esquisiteness,&&&&&&&&&&&&&
65,party,left,leact,&&&&&
66,growth,left,forepo,&&&&&&
67,troops,right,juck,&&&&
68,friends,left,elduringly,&&&&&&&&&&
69,injured,right,precificity,&&&&&&&&&&&
70,black,right,supervuned,&&&&&&&&&&
71,fighters,right,festate,&&&&&&&
72,openet,,bycled,&&&&&&
73,gillipede,,ecgagement,&&&&&&&&&&
74,pumber,,faspberry,&&&&&&&&&
75,menizen,,totalestic,&&&&&&&&&&
76,carvels,,edancipation,&&&&&&&&&&&&
77,halaise,,spag,&&&&
78,shoirmaster,,viscs,&&&&&
79,bluently,,chressing,&&&&&&&&&
80,saned,,nomaric,&&&&&&&
81,Cunday,,sonvoy,&&&&&&
