words,mask,masks,symbols,conditionfile,corr_ans,category,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,194.66494407593564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,4.451338976730767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
keyboard,&&&&&&&,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.53256661849446,right,2.8676366542676988,left,4.9014566491496225,LDT_prac,left,4.9014566491496225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
bisebell,&&&&&&&,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.7668614082577,,,left,2.3841576175327646,LDT_prac,left,2.3841576175327646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.48880364133583,,,,,LDT_prac,left,2.3841576175327646,0,right,1.2504449999323697,left,1.467268851800327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.6511803482899268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.1482736568396,,,,,,,,,,,,,,,,,left,8.902435809362942,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.1670390233703074,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.25458646597326,,,,,,,,,,,,,,,,,,,,,left,0.7504187008380541,63,right,1.5506280031477218,,,,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
keyboard,,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,645.6183173838945,,,,,AMP_prac,left,3.451087211007689,,,,,,,,,,,,,,,,,,,left,3.451087211007689,1,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
scarf,,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,649.6192118738509,,,,,AMP_prac,left,3.767870716215839,,,,,,,,,,,,,,,,,,,left,3.767870716215839,1,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
banana,,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,650.7527869022815,,,,,AMP_prac,left,0.9004492655149079,,,,,,,,,,,,,,,,,,,left,0.9004492655149079,1,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
car,,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,651.7030386359365,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,right,0.7170762590394588,1,,,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0338052417282597,,,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
conspiracy,,&&&&&&&&&&,images/symbols/symbol_69.png,condition_files/AMP_rep3.csv,right,sanctity.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,674.1921296429937,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,1.1838601811832632,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
shypse,,&&&&&&,images/symbols/symbol_9.png,condition_files/AMP_rep3.csv,None,nonword,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,1,1,1,,,,,,,,,,,,,675.7256924198955,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,1.3005476626167365,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
loyalty,,&&&&&&&,images/symbols/symbol_12.png,condition_files/AMP_rep3.csv,left,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,2,2,,,,,,,,,,,,,676.6259274440054,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.6670704539938015,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
embrace,,&&&&&&&,images/symbols/symbol_21.png,condition_files/AMP_rep3.csv,left,authority.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,3,3,3,,,,,,,,,,,,,677.5928274670332,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.749629407262546,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
sneaze,,&&&&&&,images/symbols/symbol_22.png,condition_files/AMP_rep3.csv,None,nonword,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,4,4,4,,,,,,,,,,,,,679.1432200612071,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,1.3323753406839387,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
growth,,&&&&&&,images/symbols/symbol_5.png,condition_files/AMP_rep3.csv,left,care.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,5,5,5,,,,,,,,,,,,,680.1267988420695,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.7659345255160588,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
civilians,,&&&&&&&&&,images/symbols/symbol_28.png,condition_files/AMP_rep3.csv,right,care.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,6,6,6,,,,,,,,,,,,,681.1103756986086,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.7662594155590341,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
coacs,,&&&&&,images/symbols/symbol_19.png,condition_files/AMP_rep3.csv,None,nonword,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,7,7,7,,,,,,,,,,,,,682.060637374605,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.7327453881989641,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
violations,,&&&&&&&&&&,images/symbols/symbol_66.png,condition_files/AMP_rep3.csv,right,sanctity.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,8,8,8,,,,,,,,,,,,,682.8441364884566,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.5503595599438995,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
ban,,&&&,images/symbols/symbol_58.png,condition_files/AMP_rep3.csv,right,loyalty.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,9,9,9,,,,,,,,,,,,,683.6443368105865,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.5827388775687723,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
failure,,&&&&&&&,images/symbols/symbol_38.png,condition_files/AMP_rep3.csv,right,loyalty.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,10,10,10,,,,,,,,,,,,,684.4278641478559,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5660498566685419,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
win,,&&&,images/symbols/symbol_51.png,condition_files/AMP_rep3.csv,left,fairness.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,11,11,11,,,,,,,,,,,,,685.4114483809717,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.7666381866692973,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
lies,,&&&&,images/symbols/symbol_43.png,condition_files/AMP_rep3.csv,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,12,12,12,,,,,,,,,,,,,686.695097912816,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,1.0504827166842006,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
betrayal,,&&&&&&&&,images/symbols/symbol_32.png,condition_files/AMP_rep3.csv,right,loyalty.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,13,13,13,,,,,,,,,,,,,687.4953235718785,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.5826904487475986,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
trust,,&&&&&,images/symbols/symbol_1.png,condition_files/AMP_rep3.csv,left,authority.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,14,14,14,,,,,,,,,,,,,688.3621981938304,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.6492390260609682,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
fear,,&&&&,images/symbols/symbol_60.png,condition_files/AMP_rep3.csv,right,sanctity.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,15,15,15,,,,,,,,,,,,,689.1290422831735,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5493027853299282,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
army,,&&&&,images/symbols/symbol_59.png,condition_files/AMP_rep3.csv,right,loyalty.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,16,16,16,,,,,,,,,,,,,689.8125471058484,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.46613799071201356,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
torture,,&&&&&&&,images/symbols/symbol_33.png,condition_files/AMP_rep3.csv,right,care.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,17,17,17,,,,,,,,,,,,,690.5127431944675,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.4828683845735213,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
perfect,,&&&&&&&,images/symbols/symbol_26.png,condition_files/AMP_rep3.csv,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,18,18,18,,,,,,,,,,,,,691.3129537796594,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.582754913601093,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
good,,&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep3.csv,left,care.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,19,19,19,,,,,,,,,,,,,692.0631194318885,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5170353992216405,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
health,,&&&&&&,images/symbols/symbol_48.png,condition_files/AMP_rep3.csv,left,care.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,20,20,20,,,,,,,,,,,,,692.9466680008663,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.6658962956134928,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
shot,,&&&&,images/symbols/symbol_11.png,condition_files/AMP_rep3.csv,right,care.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,21,21,21,,,,,,,,,,,,,693.6635543932643,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.4995875532149512,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
safe,,&&&&,images/symbols/symbol_29.png,condition_files/AMP_rep3.csv,left,care.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,22,22,22,,,,,,,,,,,,,695.0638695975395,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,1.1826581201021327,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
skypped,,&&&&&&&,images/symbols/symbol_15.png,condition_files/AMP_rep3.csv,None,nonword,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,23,23,23,,,,,,,,,,,,,695.9307461438148,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.6494381935954152,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
illegal,,&&&&&&&,images/symbols/symbol_10.png,condition_files/AMP_rep3.csv,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,24,24,24,,,,,,,,,,,,,697.0643676767431,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.9162938288864098,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
energy,,&&&&&&,images/symbols/symbol_80.png,condition_files/AMP_rep3.csv,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,25,25,25,,,,,,,,,,,,,697.9645840990524,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.6831440119203762,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
respect,,&&&&&&&,images/symbols/symbol_44.png,condition_files/AMP_rep3.csv,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,26,26,26,,,,,,,,,,,,,698.8648306691066,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.6827710137804388,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
accused,,&&&&&&&,images/symbols/symbol_71.png,condition_files/AMP_rep3.csv,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,27,27,27,,,,,,,,,,,,,699.8484062427633,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.7504193422792014,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
increase,,&&&&&&&&,images/symbols/symbol_78.png,condition_files/AMP_rep3.csv,left,care.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,28,28,28,,,,,,,,,,,,,700.9820075702919,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.9160125568560034,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
police,,&&&&&&,images/symbols/symbol_24.png,condition_files/AMP_rep3.csv,right,authority.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,29,29,29,,,,,,,,,,,,,701.8655590257549,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.6503862439058139,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
threatened,,&&&&&&&&&&,images/symbols/symbol_31.png,condition_files/AMP_rep3.csv,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,30,30,30,,,,,,,,,,,,,702.6156249338528,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.5335133859189227,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
killed,,&&&&&&,images/symbols/symbol_77.png,condition_files/AMP_rep3.csv,right,care.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,31,31,31,,,,,,,,,,,,,703.3492619255157,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5161774714251806,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
charges,,&&&&&&&,images/symbols/symbol_42.png,condition_files/AMP_rep3.csv,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,32,32,32,,,,,,,,,,,,,704.0494381294557,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,left,0.48271251432743156,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
unpleasant,,&&&&&&&&&,images/symbols/symbol_72.png,condition_files/AMP_rep3.csv,left,control,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,33,33,33,,,,,,,,,,,,,704.9830146332024,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.7003602976037655,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
free,,&&&&,images/symbols/symbol_70.png,condition_files/AMP_rep3.csv,left,fairness.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,34,34,34,,,,,,,,,,,,,705.7498619297512,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5492187565141649,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
faith,,&&&&&,images/symbols/symbol_7.png,condition_files/AMP_rep3.csv,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,35,35,35,,,,,,,,,,,,,706.5500661005317,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.5828639586288773,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
knapps,,&&&&&&,images/symbols/symbol_34.png,condition_files/AMP_rep3.csv,None,nonword,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,36,36,36,,,,,,,,,,,,,707.2169030698751,,,,,AMP_prac,right,0.7170762590394588,,,,,,,,,,,,,,,,,,,,,1,,,right,0.44924210497993045,,,,,,,,,,,,,,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
