words,mask,masks,symbols,conditionfile,corr_ans,category,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,606.1012855126755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.867410546168685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
bisebell,&&&&&&&,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.4843831482576,right,3.717861062497832,left,1.7674133685650304,LDT_prac,left,1.7674133685650304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
keyboard,&&&&&&&,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0682464725105,,,right,0.567098613246344,LDT_prac,right,0.567098613246344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.4900781852193,,,,,LDT_prac,right,0.567098613246344,0,right,1.6006591451587155,right,1.3672540344996378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8007481129607186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.244851310621,,,,,,,,,,,,,,,,,left,2.6842476116726175,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.9174468197161332,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.883301934693,,,,,,,,,,,,,,,,,,,,,left,0.6837681343313307,73,right,1.1839060442289338,,,,,,,,,,,,,,,,,,,,,1003,2019_May_08_1256,mf_amp_cond1,3.0.7,59.98199375716062,
