words,masks,symbols,conditionfile,corr_ans,category,mask,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,corr,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,960.3686964369736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8840548195476003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.364631893055,right,3.051034353142313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.515091539637,,,left,1.9340702303670696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.050495535670052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.5367042139078,,,,,,,left,0.9649136817643011,53,right,1.667319662123191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.3279095582075,,,,,,,,,,,,left,2.8509752756544913,AMP_prac,left,2.8509752756544913,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.1121176520792,,,,,,,,,,,,right,3.566453352679673,AMP_prac,right,3.566453352679673,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.0623726121667,,,,,,,,,,,,left,0.7170906807332358,AMP_prac,left,0.7170906807332358,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246.0292965962471,,,,,,,,,,,,left,0.7337606669025263,AMP_prac,left,0.7337606669025263,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
