words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,901.377804390504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.05104189645499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.734258337528445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
scarf,bisebell,&&&&&&&&,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,left,1.9173862593015656,AMP_prac,left,1.9173862593015656,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
car,cemtuper,&&&&&&&&,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,right,1.083843067055568,AMP_prac,right,1.083843067055568,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
keyboard,senk,&&&&,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,left,0.41703506896737963,AMP_prac,left,0.41703506896737963,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,right,0.41704629419837147,AMP_prac,right,0.41704629419837147,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.5005808270070702,,,,,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
protect,esquisiteness,&&&&&&&&&&&&&,left,fairness.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7337653881404549,,,left,1,0.7337653881404549,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
hate,scock,&&&&&,right,fairness.vice,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,0.18362953048199415,,,right,1,0.18362953048199415,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
viscs,fornicalion,&&&&&&&&&&&,None,nonword,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,left,0.15028024662751704,,,left,0,0.15028024662751704,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
baklara,reprisols,&&&&&&&&&,None,nonword,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,right,0.3336977801518515,,,right,0,0.3336977801518515,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
