words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1258.413059117156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5837435682769865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8674200085224584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
banana,kacket,&&&&&&,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,left,2.0674652949674055,AMP_prac,left,2.0674652949674055,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
car,cemtuper,&&&&&&&&,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,left,1.050512054702267,AMP_prac,left,1.050512054702267,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
scarf,bisebell,&&&&&&&&,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0004929554415867,AMP_prac,right,1.0004929554415867,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
keyboard,senk,&&&&,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,left,0.6837535427184775,AMP_prac,left,0.6837535427184775,,,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.4342392017133534,,,,,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
prosecution,pullness,&&&&&&&&,right,authority.vice,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.46706323337275535,,,left,0,0.46706323337275535,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
smapper,vicissifude,&&&&&&&&&&&,None,nonword,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.316966486396268,,,left,0,0.316966486396268,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
terrorist,viscs,&&&&&,right,loyalty.vice,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8171189915155992,,,left,0,0.8171189915155992,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
credit,gationwide,&&&&&&&&&&,left,fairness.virtue,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.0505207142559811,,,left,1,1.0505207142559811,1,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
ability,imebreaker,&&&&&&&&&&,left,authority.virtue,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.8840910104336217,,,right,0,1.8840910104336217,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
abuse,epigrach,&&&&&&&&,right,sanctity.vice,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7004258275264874,,,left,0,0.7004258275264874,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
agreement,frocessing,&&&&&&&&&&,left,fairness.virtue,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8005018716212362,,,right,0,0.8005018716212362,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
useful,dormandi,&&&&&&&&,left,authority.virtue,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.0170991707127541,,,right,0,1.0170991707127541,0,,,,,,,,,,,,,,,,,,,,1015,2019_Mar_06_1245,mf_amp_cond1,3.0.4,59.98335896723193,
