words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,541.9039111929028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5003702754597725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.650661701009085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
keyboard,senk,&&&&,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,right,4.4180549457350935,AMP_prac,right,4.4180549457350935,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
car,cemtuper,&&&&&&&&,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,right,6.935230499280124,AMP_prac,right,6.935230499280124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
scarf,bisebell,&&&&&&&&,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,right,4.0346314195646755,AMP_prac,right,4.0346314195646755,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,right,1.7507005406439475,AMP_prac,right,1.7507005406439475,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.033833459110383,,,,,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
drug,imebreaker,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,4.401393031123916,,,right,1,4.401393031123916,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
encourage,chressing,&&&&&&&&&,left,authority.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,2.284205418369538,,,right,0,2.284205418369538,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
perfect,bycled,&&&&&&,left,sanctity.virtue,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,right,7.002054876458942,,,right,0,7.002054876458942,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
suicide,nomparisons,&&&&&&&&&&&,right,care.vice,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,left,1.3172505387356068,,,left,0,1.3172505387356068,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
interests,drumbled,&&&&&&&&,left,fairness.virtue,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,right,2.117511864369817,,,right,0,2.117511864369817,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
embrace,synchronazers,&&&&&&&&&&&&&,left,authority.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,1.1338806375599688,,,right,0,1.1338806375599688,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
attacks,ejanulated,&&&&&&&&&&,right,care.vice,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2005513881078969,,,left,0,1.2005513881078969,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
leact,Lacedonia,&&&&&&&&&,None,nonword,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2838821289251428,,,left,0,1.2838821289251428,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
integrity,gondensed,&&&&&&&&&,left,fairness.virtue,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,right,1.717348487739855,,,right,0,1.717348487739855,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
racist,abointment,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7004110715088245,,,left,0,0.7004110715088245,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
