,words,corr_ans,nonwords,masks
0,army,right,framo,&&&&&
1,sexual,right,imebreaker,&&&&&&&&&&
2,fraud,right,emassion,&&&&&&&&
3,protesters,right,nackers,&&&&&&&
4,faith,left,focomotive,&&&&&&&&&&
5,help,left,thadowed,&&&&&&&&
6,arrests,right,frocessing,&&&&&&&&&&
7,win,left,taxpayung,&&&&&&&&&
8,commitment,left,gikely,&&&&&&
9,rebels,right,lorthwhile,&&&&&&&&&&
10,trust,left,Boeinf,&&&&&&
11,interests,left,suggists,&&&&&&&&
12,racist,right,tomedians,&&&&&&&&&
13,drug,right,troubla,&&&&&&&
14,prosecution,right,precificity,&&&&&&&&&&&
15,restore,left,juck,&&&&
16,free,left,yane,&&&&
17,powerful,left,papert,&&&&&&
18,benefit,left,honstables,&&&&&&&&&&
19,violence,right,gationwide,&&&&&&&&&&
20,growth,left,Daptist,&&&&&&&
21,fair,left,dramens,&&&&&&&
22,civilians,right,gowlands,&&&&&&&&
23,embrace,left,crilfully,&&&&&&&&&
24,promised,left,mecan,&&&&&
25,loyalty,left,coom,&&&&
26,health,left,wonderfujnoss,&&&&&&&&&&&&&
27,shot,right,ebbitter,&&&&&&&&
28,credit,left,aubos,&&&&&
29,increase,left,brotesque,&&&&&&&&&
30,progress,left,allears,&&&&&&&
31,values,left,lenon,&&&&&
32,killed,right,strofe,&&&&&&
33,good,left,sliptery,&&&&&&&&
34,compassion,left,refuejing,&&&&&&&&&
35,terrorist,right,pulge,&&&&&
36,threatened,right,glacenta,&&&&&&&&
37,injured,right,grovelire,&&&&&&&&&
38,praise,left,tove,&&&&
39,praised,left,fornicalion,&&&&&&&&&&&
40,forced,right,mightingale,&&&&&&&&&&&
41,groups,right,drumbled,&&&&&&&&
42,energy,left,fostet,&&&&&&
43,serial,right,atson,&&&&&
44,harassment,right,sickyay,&&&&&&&
45,prison,right,infet,&&&&&
46,failure,right,squets,&&&&&&
47,fighters,right,reprisols,&&&&&&&&&
48,hand,left,sgrawl,&&&&&&
49,celebrated,left,erks,&&&&
50,promote,left,cromiscuity,&&&&&&&&&&&
51,voter,right,fegard,&&&&&&
52,strength,left,framatic,&&&&&&&&
53,hope,left,scock,&&&&&
54,love,left,idexpressible,&&&&&&&&&&&&&
55,victim,right,hescribe,&&&&&&&&
56,negative,,pistraught,&&&&&&&&&&
57,strong,left,egpeditious,&&&&&&&&&&&
58,positive,,chared,&&&&&&
59,riot,right,asn,&&&
60,peaceful,left,hasks,&&&&&
61,fear,right,presentkess,&&&&&&&&&&&
62,suicide,right,perified,&&&&&&&&
63,intelligence,left,baklara,&&&&&&&
64,charges,right,oam,&&&
65,slavery,right,baladroit,&&&&&&&&&
66,black,right,pullness,&&&&&&&&
67,blamed,right,blunderints,&&&&&&&&&&&
68,rejected,right,discovars,&&&&&&&&&
69,promises,left,wump,&&&&
70,war,right,fangsters,&&&&&&&&&
71,accused,right,tenuflect,&&&&&&&&&
