words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,992.830181508325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.267574405996129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.6843270004028454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
car,cemtuper,&&&&&&&&,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,right,2.067464974359609,AMP_prac,right,2.067464974359609,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
banana,kacket,&&&&&&,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,left,1.4506324550602585,AMP_prac,left,1.4506324550602585,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
keyboard,senk,&&&&,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,left,1.0672109596198425,AMP_prac,left,1.0672109596198425,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,left,1.8340398386353627,AMP_prac,left,1.8340398386353627,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.7009527798509225,,,,,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
love,antral,&&&&&&,left,loyalty.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,1.083874263917096,,,left,1,1.083874263917096,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
help,proached,&&&&&&&&,left,care.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8838142241584137,,,right,0,0.8838142241584137,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
