words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,309.15198041569505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,18.388032804288173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.1674653071657985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
car,cemtuper,&&&&&&&&,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,right,3.21768360366093,AMP_prac,right,3.21768360366093,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
keyboard,senk,&&&&,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,left,2.450834780037326,AMP_prac,left,2.450834780037326,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
banana,kacket,&&&&&&,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,left,1.1171847914389446,AMP_prac,left,1.1171847914389446,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
scarf,bisebell,&&&&&&&&,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,left,1.6839481117264086,AMP_prac,left,1.6839481117264086,,,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.6673147302107054,,,,,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
encourage,epigrach,&&&&&&&&,left,authority.virtue,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,right,2.084094423136321,,,right,0,2.084094423136321,0,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
troubla,fornicalion,&&&&&&&&&&&,None,nonword,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8838325250712842,,,left,0,0.8838325250712842,0,,,,,,,,,,,,,,,,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
