words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1392.7292153490998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,5.401557345467154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8340293996443506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
scarf,bisebell,&&&&&&&&,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,right,2.634204383735778,AMP_prac,right,2.634204383735778,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,left,1.0504368508409243,AMP_prac,left,1.0504368508409243,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
car,cemtuper,&&&&&&&&,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,left,0.8337632031762041,AMP_prac,left,0.8337632031762041,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,left,1.0504807893012185,AMP_prac,left,1.0504807893012185,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.783984466950642,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
blamed,wump,&&&&,right,loyalty.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9671295491571072,,,left,0,0.9671295491571072,0,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
useful,tislay,&&&&&&,left,authority.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,4.1345741722907405,,,right,0,4.1345741722907405,0,,,,,,,,,,,,,,,,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
