,words,corr_ans,category,nonwords,mask
0,corruption,right,sanctity.vice,abointment,&&&&&&&&&&
1,intelligence,left,loyalty.virtue,blunderints,&&&&&&&&&&&
2,war,right,sanctity.vice,Cunday,&&&&&&
3,refused,right,authority.vice,sickyay,&&&&&&&
4,great,left,loyalty.virtue,refuejing,&&&&&&&&&
5,strong,left,loyalty.virtue,Oregoniuns,&&&&&&&&&&
6,ensure,left,fairness.virtue,vicissifude,&&&&&&&&&&&
7,tenuflect,,nonword,dormandi,&&&&&&&&
8,free,left,fairness.virtue,framatic,&&&&&&&&
9,promised,left,loyalty.virtue,sfumatoy,&&&&&&&&
10,peace,left,care.virtue,mecan,&&&&&
11,help,left,care.virtue,framo,&&&&&
12,hate,right,fairness.vice,fangsters,&&&&&&&&&
13,rebels,right,authority.vice,hefurbished,&&&&&&&&&&&
14,loyalty,left,loyalty.virtue,frocessing,&&&&&&&&&&
15,negative,,control,clattening,&&&&&&&&&&
16,improve,left,care.virtue,perified,&&&&&&&&
17,death,right,care.vice,nomaric,&&&&&&&
18,perfect,left,sanctity.virtue,bluently,&&&&&&&&
19,slavery,right,loyalty.vice,neputized,&&&&&&&&&
20,injured,right,care.vice,pistraught,&&&&&&&&&&
21,arrests,right,authority.vice,bruthfulness,&&&&&&&&&&&&
22,fear,right,sanctity.vice,unscothed,&&&&&&&&&
23,fair,left,fairness.virtue,antral,&&&&&&
24,terrorist,right,loyalty.vice,wump,&&&&
25,positive,,control,hescribe,&&&&&&&&
26,love,left,loyalty.virtue,gaultless,&&&&&&&&&
27,embrace,left,authority.virtue,neutralust,&&&&&&&&&&
28,attacks,right,care.vice,reprisols,&&&&&&&&&
29,violations,right,sanctity.vice,chreams,&&&&&&&
30,smapper,,nonword,ronviolence,&&&&&&&&&&&
31,integrity,left,fairness.virtue,gationwide,&&&&&&&&&&
32,dignity,left,sanctity.virtue,gandbrake,&&&&&&&&&
33,respect,left,sanctity.virtue,ittutable,&&&&&&&&&
34,care,left,care.virtue,Boeinf,&&&&&&
35,police,right,authority.vice,squets,&&&&&&
36,faith,left,sanctity.virtue,rorroborated,&&&&&&&&&&&&
37,prosecution,right,authority.vice,lursuer,&&&&&&&
38,freedom,left,sanctity.virtue,openet,&&&&&&
39,died,right,care.vice,fostet,&&&&&&
40,credit,left,fairness.virtue,clamorek,&&&&&&&&
41,black,right,loyalty.vice,gillipede,&&&&&&&&&
42,troops,right,loyalty.vice,seachwear,&&&&&&&&&
43,promote,left,sanctity.virtue,tracious,&&&&&&&&
44,powerful,left,authority.virtue,aubos,&&&&&
45,strength,left,sanctity.virtue,asn,&&&
46,restore,left,care.virtue,stindig,&&&&&&&
47,dumid,,nonword,fonderland,&&&&&&&&&&
48,increase,left,care.virtue,rivernoat,&&&&&&&&&
49,failure,right,loyalty.vice,idexpressible,&&&&&&&&&&&&&
50,victim,right,care.vice,pafer,&&&&&
51,progress,left,authority.virtue,unreflectuve,&&&&&&&&&&&&
52,sexual,right,sanctity.vice,supervuned,&&&&&&&&&&
53,charges,right,fairness.vice,quarterbocks,&&&&&&&&&&&&
54,protesters,right,authority.vice,crilfully,&&&&&&&&&
55,celebrated,left,authority.virtue,ecgagement,&&&&&&&&&&
56,grovelire,,nonword,gournful,&&&&&&&&
57,torture,right,care.vice,carvels,&&&&&&&
58,gun,right,authority.vice,mightingale,&&&&&&&&&&&
59,drug,right,sanctity.vice,dramens,&&&&&&&
60,ban,right,loyalty.vice,ugeasily,&&&&&&&&
61,infet,,nonword,chonograph,&&&&&&&&&&
62,faspberry,,nonword,egpeditious,&&&&&&&&&&&
