,category,corr_ans,mask,words
0,care.virtue,left,&&&&&&,health
1,care.virtue,left,&&&&&,peace
2,care.virtue,left,&&&&,safe
3,care.virtue,left,&&&&&&&,improve
4,care.virtue,left,&&&&&&,growth
5,care.vice,left,&&&&&&,killed
6,care.vice,left,&&&&&,death
7,care.vice,left,&&&&&&&,torture
8,care.vice,left,&&&&&&,victim
9,care.vice,left,&&&&,shot
10,fairness.virtue,left,&&&&&&&,benefit
11,fairness.virtue,left,&&&&&&&&&,integrity
12,fairness.virtue,left,&&&&&&,credit
13,fairness.virtue,left,&&&&&&&&&&&,opportunity
14,fairness.virtue,left,&&&&,fair
15,fairness.vice,left,&&&&&&&,illegal
16,fairness.vice,left,&&&&,hate
17,fairness.vice,left,&&&&&&&,accused
18,fairness.vice,left,&&&&&&&,charges
19,fairness.vice,left,&&&&&&,forced
20,loyalty.virtue,left,&&&&&&&,support
21,loyalty.virtue,left,&&&&,love
22,loyalty.virtue,left,&&&&&&&,loyalty
23,loyalty.virtue,left,&&&&,hope
24,loyalty.virtue,left,&&&&&&&,sharing
25,loyalty.vice,left,&&&&&&&&&,terrorist
26,loyalty.vice,left,&&&&&&,groups
27,loyalty.vice,left,&&&&&&&,failure
28,loyalty.vice,left,&&&&&,black
29,loyalty.vice,left,&&&&&&&&,betrayal
30,authority.virtue,left,&&&&&,trust
31,authority.virtue,left,&&&&&&&&,actively
32,authority.virtue,left,&&&&&&,praise
33,authority.virtue,left,&&&&&&&&,powerful
34,authority.virtue,left,&&&&&&&,honored
35,authority.vice,left,&&&,gun
36,authority.vice,left,&&&&&&&,penalty
37,authority.vice,left,&&&&&&,rebels
38,authority.vice,left,&&&&&&&&,rejected
39,authority.vice,left,&&&&&&&,arrests
40,sanctity.virtue,left,&&&&&&&,promote
41,sanctity.virtue,left,&&&&&,clean
42,sanctity.virtue,left,&&&&&,faith
43,sanctity.virtue,left,&&&&,hand
44,sanctity.virtue,left,&&&&&&,energy
45,sanctity.vice,left,&&&&&&,sexual
46,sanctity.vice,left,&&&&,fear
47,sanctity.vice,left,&&&&&&&,scandal
48,sanctity.vice,left,&&&&&&&&&&,conspiracy
49,sanctity.vice,left,&&&&&&&&&&,violations
50,neutral,left,&&&&&&&&,latterly
51,neutral,left,&&&&&&,hereby
52,neutral,left,&&&&&,forty
53,neutral,left,&&&&&&&&,although
54,neutral,left,&&&&&&&&&&,whereafter
55,neutral,left,&&&&,also
56,neutral,left,&&&&&&&&,wherever
57,neutral,left,&&&&&&,either
58,neutral,left,&&&&&,about
59,neutral,left,&&&&&&&&&&,everything
60,neutral,left,&&&&&,three
61,neutral,left,&&&&&,fifty
62,neutral,left,&&&&&,hence
63,neutral,left,&&&&&&,amount
64,neutral,left,&&&&&&,latter
65,neutral,left,&&&&&&&&,amoungst
66,neutral,left,&&&&&&&,whither
67,neutral,left,&&&&,each
68,neutral,left,&&&&,thru
69,neutral,left,&&&&&,could
70,neutral,left,&&&&&&,myself
71,neutral,left,&&&&&&&,fifteen
72,neutral,left,&&&&&,eight
73,neutral,left,&&&&,less
74,neutral,left,&&&&&&&&&,elsewhere
75,neutral,left,&&&&&&&,couldnt
76,neutral,left,&&&&&&&,besides
77,neutral,left,&&&&,even
78,neutral,left,&&&&,both
79,neutral,left,&&&&&&&,towards
80,neutral,left,&&&&,give
81,neutral,left,&&&&,done
82,neutral,left,&&&&&,noone
83,neutral,left,&&&&&&&&&,therefore
84,neutral,left,&&&&,with
85,neutral,left,&&&&,else
86,neutral,left,&&&&&&,toward
87,neutral,left,&&&&&&&&,anything
88,neutral,left,&&&&&&&,somehow
89,neutral,left,&&&&&,least
90,neutral,left,&&&&,were
91,neutral,left,&&&&&,there
92,neutral,left,&&&&,been
93,neutral,left,&&&&&,front
94,neutral,left,&&&&&&,mostly
95,neutral,left,&&&&,seem
96,neutral,left,&&&&&&,itself
97,neutral,left,&&&&&&&,further
98,neutral,left,&&&&&&,anyhow
99,neutral,left,&&&&&&,become
100,nonword,right,&&&&&&&&&&&&&,idexpressible
101,nonword,right,&&&&&&&&,epigrach
102,nonword,right,&&&&&&&&&&,honstables
103,nonword,right,&&&&&&&&&&,chonograph
104,nonword,right,&&&&&&&&,perified
105,nonword,right,&&&&&,noped
106,nonword,right,&&&&&&&&,clamorek
107,nonword,right,&&&&&&,fostet
108,nonword,right,&&&&&,aubos
109,nonword,right,&&&&&&&,lursuer
110,nonword,right,&&&&&&&,gedious
111,nonword,right,&&&&&&&&&&,gationwide
112,nonword,right,&&&&&&,sgrawl
113,nonword,right,&&&&,erks
114,nonword,right,&&&&&&&&&&&,nomparisons
115,nonword,right,&&&&&&&&&&&,neneficence
116,nonword,right,&&&&&,mecan
117,nonword,right,&&&&&&&&,ugeasily
118,nonword,right,&&&&&&&&&&&&,gusinesslike
119,nonword,right,&&&,mih
120,nonword,right,&&&&&&&&&,rivernoat
121,nonword,right,&&&&&&&,vurtain
