,word,category,correct_amp,correct_ldt,mask
0,care,care.virtue,left,left,&&&&
1,help,care.virtue,left,left,&&&&
2,health,care.virtue,left,left,&&&&&&
3,good,care.virtue,left,left,&&&&
4,peace,care.virtue,left,left,&&&&&
5,safe,care.virtue,left,left,&&&&
6,compassion,care.virtue,left,left,&&&&&&&&&&
7,safety,care.virtue,left,left,&&&&&&
8,improve,care.virtue,left,left,&&&&&&&
9,growth,care.virtue,left,left,&&&&&&
10,increase,care.virtue,left,left,&&&&&&&&
11,restore,care.virtue,left,left,&&&&&&&
12,killed,care.vice,right,left,&&&&&&
13,death,care.vice,right,left,&&&&&
14,violence,care.vice,right,left,&&&&&&&&
15,attacks,care.vice,right,left,&&&&&&&
16,civilians,care.vice,right,left,&&&&&&&&&
17,suicide,care.vice,right,left,&&&&&&&
18,died,care.vice,right,left,&&&&
19,torture,care.vice,right,left,&&&&&&&
20,victims,care.vice,right,left,&&&&&&&
21,victim,care.vice,right,left,&&&&&&
22,injured,care.vice,right,left,&&&&&&&
23,shot,care.vice,right,left,&&&&
24,free,fairness.virtue,left,left,&&&&
25,ensure,fairness.virtue,left,left,&&&&&&
26,protect,fairness.virtue,left,left,&&&&&&&
27,benefit,fairness.virtue,left,left,&&&&&&&
28,integrity,fairness.virtue,left,left,&&&&&&&&&
29,interests,fairness.virtue,left,left,&&&&&&&&&
30,credit,fairness.virtue,left,left,&&&&&&
31,agreement,fairness.virtue,left,left,&&&&&&&&&
32,opportunity,fairness.virtue,left,left,&&&&&&&&&&&
33,fair,fairness.virtue,left,left,&&&&
34,win,fairness.virtue,left,left,&&&
35,promises,fairness.virtue,left,left,&&&&&&&&
36,fraud,fairness.vice,right,left,&&&&&
37,illegal,fairness.vice,right,left,&&&&&&&
38,crime,fairness.vice,right,left,&&&&&
39,hate,fairness.vice,right,left,&&&&
40,prison,fairness.vice,right,left,&&&&&&
41,accused,fairness.vice,right,left,&&&&&&&
42,lies,fairness.vice,right,left,&&&&
43,charges,fairness.vice,right,left,&&&&&&&
44,threatened,fairness.vice,right,left,&&&&&&&&&&
45,voter,fairness.vice,right,left,&&&&&
46,forced,fairness.vice,right,left,&&&&&&
47,terrorists,fairness.vice,right,left,&&&&&&&&&&
48,support,loyalty.virtue,left,left,&&&&&&&
