,words,corr_ans,category,masks,symbols
0,sharz,,nonword,&&&&&,images/symbols/symbol_4.png
1,dignity,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_78.png
2,strength,left,sanctity.virtue,&&&&&&&&,images/symbols/symbol_51.png
3,men,right,loyalty.vice,&&&,images/symbols/symbol_32.png
4,hand,left,sanctity.virtue,&&&&,images/symbols/symbol_24.png
5,good,left,care.virtue,&&&&,images/symbols/symbol_52.png
6,voter,right,fairness.vice,&&&&&,images/symbols/symbol_25.png
7,conspiracy,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_7.png
8,jogns,,nonword,&&&&&,images/symbols/symbol_48.png
9,stourz,,nonword,&&&&&&,images/symbols/symbol_69.png
10,praised,left,loyalty.virtue,&&&&&&&,images/symbols/symbol_41.png
11,accused,right,fairness.vice,&&&&&&&,images/symbols/symbol_76.png
12,opportunity,left,fairness.virtue,&&&&&&&&&&&,images/symbols/symbol_82.png
13,soughste,,nonword,&&&&&&&&,images/symbols/symbol_11.png
14,praise,left,authority.virtue,&&&&&&,images/symbols/symbol_36.png
15,critics,right,loyalty.vice,&&&&&&&,images/symbols/symbol_47.png
16,credit,left,fairness.virtue,&&&&&&,images/symbols/symbol_17.png
17,growth,left,care.virtue,&&&&&&,images/symbols/symbol_45.png
18,gun,right,authority.vice,&&&,images/symbols/symbol_71.png
19,free,left,fairness.virtue,&&&&,images/symbols/symbol_20.png
20,victims,right,care.vice,&&&&&&&,images/symbols/symbol_44.png
21,police,right,authority.vice,&&&&&&,images/symbols/symbol_9.png
22,hope,left,loyalty.virtue,&&&&,images/symbols/symbol_74.png
23,peaceful,left,authority.virtue,&&&&&&&&,images/symbols/symbol_81.png
24,progress,left,authority.virtue,&&&&&&&&,images/symbols/symbol_42.png
25,threatened,right,fairness.vice,&&&&&&&&&&,images/symbols/symbol_40.png
26,promises,left,fairness.virtue,&&&&&&&&,images/symbols/symbol_18.png
27,riot,right,authority.vice,&&&&,images/symbols/symbol_2.png
28,celebrated,left,authority.virtue,&&&&&&&&&&,images/symbols/symbol_26.png
29,protect,left,fairness.virtue,&&&&&&&,images/symbols/symbol_1.png
30,torture,right,care.vice,&&&&&&&,images/symbols/symbol_35.png
31,injured,right,care.vice,&&&&&&&,images/symbols/symbol_63.png
32,psured,,nonword,&&&&&&,images/symbols/symbol_68.png
33,black,right,loyalty.vice,&&&&&,images/symbols/symbol_80.png
34,lies,right,fairness.vice,&&&&,images/symbols/symbol_53.png
35,prison,right,fairness.vice,&&&&&&,images/symbols/symbol_46.png
36,rejected,right,authority.vice,&&&&&&&&,images/symbols/symbol_22.png
37,shot,right,care.vice,&&&&,images/symbols/symbol_8.png
38,terrorist,right,loyalty.vice,&&&&&&&&&,images/symbols/symbol_57.png
39,sharing,left,loyalty.virtue,&&&&&&&,images/symbols/symbol_38.png
40,pleasant,right,control,&&&&&&&,images/symbols/symbol_23.png
41,harassment,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_13.png
42,charges,right,fairness.vice,&&&&&&&,images/symbols/symbol_33.png
43,promote,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_31.png
44,corruption,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_72.png
45,fair,left,fairness.virtue,&&&&,images/symbols/symbol_6.png
46,fighters,right,authority.vice,&&&&&&&&,images/symbols/symbol_34.png
47,intelligence,left,loyalty.virtue,&&&&&&&&&&&&,images/symbols/symbol_77.png
48,honored,left,authority.virtue,&&&&&&&,images/symbols/symbol_50.png
49,trust,left,authority.virtue,&&&&&,images/symbols/symbol_58.png
50,promised,left,loyalty.virtue,&&&&&&&&,images/symbols/symbol_15.png
51,wence,,nonword,&&&&&,images/symbols/symbol_30.png
52,rebels,right,authority.vice,&&&&&&,images/symbols/symbol_61.png
53,useful,left,authority.virtue,&&&&&&,images/symbols/symbol_73.png
54,slavery,right,loyalty.vice,&&&&&&&,images/symbols/symbol_37.png
55,stroad,,nonword,&&&&&&,images/symbols/symbol_75.png
56,suicide,right,care.vice,&&&&&&&,images/symbols/symbol_59.png
57,treize,,nonword,&&&&&&,images/symbols/symbol_29.png
58,troops,right,loyalty.vice,&&&&&&,images/symbols/symbol_62.png
59,civilians,right,care.vice,&&&&&&&&&,images/symbols/symbol_14.png
60,abuse,right,sanctity.vice,&&&&&,images/symbols/symbol_19.png
61,penalty,right,authority.vice,&&&&&&&,images/symbols/symbol_66.png
62,compassion,left,care.virtue,&&&&&&&&&&,images/symbols/symbol_43.png
63,energy,left,sanctity.virtue,&&&&&&,images/symbols/symbol_55.png
64,respect,left,sanctity.virtue,&&&&&&&,images/symbols/symbol_10.png
65,peace,left,care.virtue,&&&&&,images/symbols/symbol_54.png
66,violence,right,care.vice,&&&&&&&&,images/symbols/symbol_67.png
67,groups,right,loyalty.vice,&&&&&&,images/symbols/symbol_70.png
68,ailled,,nonword,&&&&&&,images/symbols/symbol_3.png
69,strong,left,loyalty.virtue,&&&&&&,images/symbols/symbol_65.png
70,violations,right,sanctity.vice,&&&&&&&&&&,images/symbols/symbol_60.png
71,commitment,left,sanctity.virtue,&&&&&&&&&&,images/symbols/symbol_27.png
72,restore,left,care.virtue,&&&&&&&,images/symbols/symbol_56.png
73,help,left,care.virtue,&&&&,images/symbols/symbol_16.png
74,serial,right,sanctity.vice,&&&&&&,images/symbols/symbol_12.png
75,sexual,right,sanctity.vice,&&&&&&,images/symbols/symbol_21.png
76,party,left,loyalty.virtue,&&&&&,images/symbols/symbol_5.png
77,fourz,,nonword,&&&&&,images/symbols/symbol_64.png
78,interests,left,fairness.virtue,&&&&&&&&&,images/symbols/symbol_49.png
79,forced,right,fairness.vice,&&&&&&,images/symbols/symbol_39.png
80,unpleasant,left,control,&&&&&&&&&,images/symbols/symbol_79.png
81,care,left,care.virtue,&&&&,images/symbols/symbol_28.png
