,category,corr_ans,masks,words,symbols
0,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_29.png
1,fairness.virtue,left,&&&&&&,credit,images/symbols/symbol_13.png
2,nonword,,&&&&&,yakks,images/symbols/symbol_60.png
3,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_58.png
4,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_64.png
5,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_11.png
6,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_8.png
7,care.virtue,left,&&&&&&,safety,images/symbols/symbol_44.png
8,nonword,,&&&&&&,mawlde,images/symbols/symbol_69.png
9,fairness.virtue,left,&&&,win,images/symbols/symbol_72.png
10,care.virtue,left,&&&&&&,health,images/symbols/symbol_81.png
11,nonword,,&&&&&,wayed,images/symbols/symbol_28.png
12,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_68.png
13,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_1.png
14,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_35.png
15,care.vice,right,&&&&&&,killed,images/symbols/symbol_54.png
16,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_53.png
17,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_66.png
18,care.vice,right,&&&&&&,victim,images/symbols/symbol_6.png
19,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_82.png
20,care.vice,right,&&&&,shot,images/symbols/symbol_15.png
21,fairness.virtue,left,&&&&,fair,images/symbols/symbol_25.png
22,care.virtue,left,&&&&,good,images/symbols/symbol_30.png
23,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_23.png
24,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_80.png
25,authority.virtue,left,&&&&&,trust,images/symbols/symbol_33.png
26,nonword,,&&&&&,foald,images/symbols/symbol_75.png
27,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_70.png
28,fairness.vice,right,&&&&&,voter,images/symbols/symbol_16.png
29,care.virtue,left,&&&&&,peace,images/symbols/symbol_9.png
