,category,corr_ans,words
0,care.vice,right,killed
1,loyalty.vice,right,terrorist
2,authority.virtue,right,trust
3,nonword,left,kneighed
4,sanctity.vice,right,fear
5,care.vice,left,assault
6,nonword,right,phegned
7,fairness.virtue,left,bureaus
8,care.vice,right,shot
9,nonword,left,whoond
10,nonword,right,peizz
11,loyalty.virtue,left,passionate
12,authority.vice,left,authorities
13,care.virtue,left,caregivers
14,loyalty.virtue,left,proud
15,authority.virtue,right,praise
16,sanctity.vice,right,racist
17,sanctity.virtue,right,freedom
18,nonword,right,wraughsed
19,loyalty.virtue,left,want
20,loyalty.virtue,right,praised
21,nonword,left,queighld
22,loyalty.virtue,right,support
23,care.virtue,right,growth
24,loyalty.vice,right,ban
25,fairness.virtue,right,integrity
26,nonword,left,staughld
27,nonword,left,yacte
28,nonword,left,weild
29,fairness.vice,right,lies
30,fairness.virtue,right,protect
31,fairness.virtue,right,fair
32,sanctity.virtue,right,commitment
33,fairness.virtue,left,true
34,authority.vice,right,protesters
35,sanctity.vice,left,hunger
36,loyalty.vice,right,black
37,sanctity.virtue,left,diet
38,fairness.vice,right,charges
39,loyalty.virtue,right,party
40,authority.virtue,left,appreciated
41,sanctity.vice,left,gang
42,care.vice,left,wounded
43,authority.vice,left,combat
44,loyalty.virtue,left,confidence
45,nonword,right,mawlde
46,fairness.virtue,left,treat
47,care.vice,left,bomb
48,loyalty.vice,left,rage
49,care.vice,left,suspects
50,authority.virtue,left,cabinets
51,sanctity.vice,left,enemies
52,control,right,unpleasant
53,authority.virtue,left,easy
54,authority.virtue,right,actively
55,loyalty.vice,left,coup
56,authority.vice,right,gun
57,nonword,left,sypht
58,nonword,left,phlaizz
59,authority.vice,right,rebels
60,fairness.virtue,right,agreement
61,sanctity.vice,right,scandal
62,fairness.virtue,left,approval
63,sanctity.vice,right,drug
64,loyalty.vice,left,city
65,care.vice,right,violence
66,loyalty.vice,left,hostility
67,sanctity.virtue,left,generosity
68,nonword,right,brored
69,fairness.virtue,right,free
70,authority.virtue,left,build
71,nonword,left,sloaze
72,care.virtue,left,enjoy
73,nonword,right,rhoas
74,loyalty.virtue,right,sharing
75,fairness.vice,left,poor
76,care.vice,right,victim
77,sanctity.vice,left,heroin
78,fairness.vice,left,crisis
79,fairness.vice,left,detention
80,fairness.vice,left,immigrants
81,nonword,left,scylde
82,loyalty.virtue,right,strong
83,sanctity.virtue,right,respect
84,authority.vice,left,military
85,sanctity.virtue,left,kind
86,fairness.vice,right,accused
87,authority.vice,left,agents
88,care.vice,right,injured
89,care.virtue,left,impressed
90,sanctity.virtue,left,wealth
91,authority.vice,right,refused
92,sanctity.vice,right,conspiracy
93,nonword,right,foald
94,loyalty.virtue,right,friends
95,fairness.vice,right,hate
96,nonword,right,squauzz
97,loyalty.vice,right,betrayal
98,care.virtue,left,expand
99,care.virtue,right,compassion
