words,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,1.5650530139973853,,,,,,,,,,,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,,2.5706349600004614,None,,,,,,,,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,,3.8025581530018826,,left,0.6996887889981735,,,,,,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,,7.786913515003107,,,,,None,0.9464140700001735,62,None,,,,,,,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
keyboard,images/symbols/symbol_40.png,,,,,,,,,0,0,0,2,,,,,,,,20.941505674003565,,,,,,,,,left,1.1414357410030789,AMP_prac,left,1.1414357410030789,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
banana,images/symbols/symbol_68.png,,,,,,,,,0,1,1,1,,,,,,,,22.318744285999855,,,,,,,,,right,1.219165406000684,AMP_prac,right,1.219165406000684,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
car,images/symbols/symbol_9.png,,,,,,,,,0,2,2,0,,,,,,,,23.634651681000832,,,,,,,,,left,1.1685633000015514,AMP_prac,left,1.1685633000015514,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
scarf,images/symbols/symbol_54.png,,,,,,,,,0,3,3,3,,,,,,,,24.918633154004056,,,,,,,,,right,1.1354613680014154,AMP_prac,right,1.1354613680014154,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
violations,images/symbols/symbol_63.png,sanctity.vice,right,,,,,,,,,,,0,0,0,0,,,,39.118812170003366,,,,,,,,,right,0.7659232480000355,AMP_prac,right,0.7659232480000355,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
terrorist,images/symbols/symbol_75.png,loyalty.vice,right,,,,,,,,,,,0,1,1,1,,,,41.13717579000513,,,,,,,,,right,1.8710551019976265,AMP_prac,right,1.8710551019976265,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
hand,images/symbols/symbol_24.png,sanctity.virtue,left,,,,,,,,,,,0,2,2,2,,,,42.35242786100571,,,,,,,,,left,1.066946355997061,AMP_prac,left,1.066946355997061,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
shot,images/symbols/symbol_12.png,care.vice,right,,,,,,,,,,,0,3,3,3,,,,43.451129581000714,,,,,,,,,right,0.9501891600011731,AMP_prac,right,0.9501891600011731,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
pleasant,images/symbols/symbol_2.png,control,right,,,,,,,,,,,0,4,4,4,,,,44.55084439300117,,,,,,,,,left,0.9511698099959176,AMP_prac,left,0.9511698099959176,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
war,images/symbols/symbol_77.png,sanctity.vice,right,,,,,,,,,,,0,5,5,5,,,,45.65146853700571,,,,,,,,,right,0.9506769209983759,AMP_prac,right,0.9506769209983759,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
conspiracy,images/symbols/symbol_30.png,sanctity.vice,right,,,,,,,,,,,0,6,6,6,,,,46.650896682003804,,,,,,,,,left,0.8521800999951665,AMP_prac,left,0.8521800999951665,0.01,,999,2019_Apr_10_0953,mf_amp_cond1,3.0.7,59.51449869383996,
