words,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,15.135159771998588,,,,,,,,,,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,15.157929367996985,None,,,,,,,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,15.842737377999583,,right,1.2000158070004545,,,,,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,17.372199990997615,,,,,None,43,None,,,,,,,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
car,images/symbols/symbol_9.png,,,,,,,0,0,0,0,,,,,,,,,,22.823505180997017,,,,,,,,left,0.8845566239979235,AMP_prac,left,0.8845566239979235,0.1,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
keyboard,images/symbols/symbol_40.png,,,,,,,0,1,1,2,,,,,,,,,,23.83815119999781,,,,,,,,left,0.76874151800439,AMP_prac,left,0.76874151800439,0.1,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
scarf,images/symbols/symbol_54.png,,,,,,,0,2,2,3,,,,,,,,,,24.871930200999486,,,,,,,,right,0.7857628540004953,AMP_prac,right,0.7857628540004953,0.1,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
banana,images/symbols/symbol_68.png,,,,,,,0,3,3,1,,,,,,,,,,25.88837571699696,,,,,,,,left,0.7687693439947907,AMP_prac,left,0.7687693439947907,0.1,,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_0956,mf_amp_cond1,3.0.7,59.929715628912675,
,,,,,,,,,,,,,,,,,,,,,37.504070363997016,,,,,,,,,,,,,,,,,,,,
