words,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,0.48291221499675885,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,0.9157264629975543,None,,,,,,,,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,2.7978211939989706,,left,0.5825979840010405,,,,,,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,4.84817873800057,,,,,None,0.784541008004453,64,None,,,,,,,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
keyboard,images/symbols/symbol_40.png,,,,,,,0,0,0,2,,,,,,,,,,8.828705792002438,,,,,,,,,left,0.8013542560001952,AMP_prac,left,0.8013542560001952,10,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
scarf,images/symbols/symbol_54.png,,,,,,,0,1,1,3,,,,,,,,,,9.928448842001671,,,,,,,,,right,0.7834191799993278,AMP_prac,right,0.7834191799993278,10,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
car,images/symbols/symbol_9.png,,,,,,,0,2,2,0,,,,,,,,,,10.979129699000623,,,,,,,,,left,0.7378983340022387,AMP_prac,left,0.7378983340022387,10,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
banana,images/symbols/symbol_68.png,,,,,,,0,3,3,1,,,,,,,,,,12.895372954000777,,,,,,,,,right,1.5997895330001484,AMP_prac,right,1.5997895330001484,10,,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1008,mf_amp_cond1,3.0.7,59.75810790283541,
,,,,,,,,,,,,,,,,,,,,,18.849855414002377,,,,,,,,,,,,,,,,,,,,,
