words,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,exp_time,resp_logo_rate.keys,resp_logo_rate.rt,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,resp_logo_ready_2.rt,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,2.7654285570024513,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,right,1.0510450559959281,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,,,41.87873638400197,right,1.9456625929960865,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,,,105.85779854500288,,,left,1.3156246529979398,,,,,,,,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.4167604980029864,,,,,,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,,,124.94278473300074,,,,,,,None,1.4503146059942083,46,right,2.0348121280039777,,,,,,,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
scarf,images/symbols/symbol_54.png,,,,,,,,,0,0,0,3,,,,,,,,,214.226793216003,,,,,,,,,,,,left,2.848040844000934,AMP_prac,left,2.848040844000934,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
banana,images/symbols/symbol_68.png,,,,,,,,,0,1,1,1,,,,,,,,,215.41148551700462,,,,,,,,,,,,right,1.0196338940004352,AMP_prac,right,1.0196338940004352,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
car,images/symbols/symbol_9.png,,,,,,,,,0,2,2,0,,,,,,,,,216.67750871200406,,,,,,,,,,,,left,1.098881956000696,AMP_prac,left,1.098881956000696,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
keyboard,images/symbols/symbol_40.png,,,,,,,,,0,3,3,2,,,,,,,,,217.76107729299838,,,,,,,,,,,,right,0.9191261489977478,AMP_prac,right,0.9191261489977478,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.3518140840023989,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
support,images/symbols/symbol_65.png,loyalty.virtue,left,,,,,,,,,,,0,0,0,0,,,,,240.3438334800012,,,,,,,,,,,,left,1.0020847669948125,AMP_prac,left,1.0020847669948125,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
knapps,images/symbols/symbol_15.png,nonword,None,,,,,,,,,,,0,1,1,1,,,,,241.37741225500213,,,,,,,,,,,,right,0.865728967000905,AMP_prac,right,0.865728967000905,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
commitment,images/symbols/symbol_63.png,sanctity.virtue,left,,,,,,,,,,,0,2,2,2,,,,,242.361340604999,,,,,,,,,,,,left,0.8172305519983638,AMP_prac,left,0.8172305519983638,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
trust,images/symbols/symbol_31.png,authority.virtue,left,,,,,,,,,,,0,3,3,3,,,,,243.3443054610034,,,,,,,,,,,,right,0.8028531879972434,AMP_prac,right,0.8028531879972434,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
benefit,images/symbols/symbol_57.png,fairness.virtue,left,,,,,,,,,,,0,4,4,4,,,,,244.3440022440045,,,,,,,,,,,,left,0.8356667600019136,AMP_prac,left,0.8356667600019136,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
drug,images/symbols/symbol_12.png,sanctity.vice,right,,,,,,,,,,,0,5,5,5,,,,,245.2600332889997,,,,,,,,,,,,right,0.7471207729977323,AMP_prac,right,0.7471207729977323,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
hope,images/symbols/symbol_11.png,loyalty.virtue,left,,,,,,,,,,,0,6,6,6,,,,,246.41086491600436,,,,,,,,,,,,left,0.9862266060008551,AMP_prac,left,0.9862266060008551,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
scandal,images/symbols/symbol_46.png,sanctity.vice,right,,,,,,,,,,,0,7,7,7,,,,,247.4780142890013,,,,,,,,,,,,right,0.9000210849990253,AMP_prac,right,0.9000210849990253,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
ensure,images/symbols/symbol_55.png,fairness.virtue,left,,,,,,,,,,,0,8,8,8,,,,,248.49420280800405,,,,,,,,,,,,left,0.8504100000063772,AMP_prac,left,0.8504100000063772,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
friends,images/symbols/symbol_28.png,loyalty.virtue,left,,,,,,,,,,,0,9,9,9,,,,,249.57667162100552,,,,,,,,,,,,right,0.9187757929976215,AMP_prac,right,0.9187757929976215,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
victims,images/symbols/symbol_36.png,care.vice,right,,,,,,,,,,,0,10,10,10,,,,,250.59412135000457,,,,,,,,,,,,left,0.8500922039966099,AMP_prac,left,0.8500922039966099,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
hate,images/symbols/symbol_38.png,fairness.vice,right,,,,,,,,,,,0,11,11,11,,,,,251.60904327699973,,,,,,,,,,,,right,0.8482487660003244,AMP_prac,right,0.8482487660003244,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
freedom,images/symbols/symbol_3.png,sanctity.virtue,left,,,,,,,,,,,0,12,12,12,,,,,252.61691210199933,,,,,,,,,,,,left,0.8394352420000359,AMP_prac,left,0.8394352420000359,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
party,images/symbols/symbol_76.png,loyalty.virtue,left,,,,,,,,,,,0,13,13,13,,,,,253.61020246700355,,,,,,,,,,,,right,0.8198113010002999,AMP_prac,right,0.8198113010002999,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
protect,images/symbols/symbol_81.png,fairness.virtue,left,,,,,,,,,,,0,14,14,14,,,,,254.66052432000288,,,,,,,,,,,,left,0.8867130209982861,AMP_prac,left,0.8867130209982861,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
ability,images/symbols/symbol_51.png,authority.virtue,left,,,,,,,,,,,0,15,15,15,,,,,255.64345922700159,,,,,,,,,,,,right,0.815718621997803,AMP_prac,right,0.815718621997803,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
dignity,images/symbols/symbol_74.png,sanctity.virtue,left,,,,,,,,,,,0,16,16,16,,,,,256.6764721280051,,,,,,,,,,,,left,0.865124793999712,AMP_prac,left,0.865124793999712,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
strength,images/symbols/symbol_78.png,sanctity.virtue,left,,,,,,,,,,,0,17,17,17,,,,,257.710612228002,,,,,,,,,,,,right,0.8690698270002031,AMP_prac,right,0.8690698270002031,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
free,images/symbols/symbol_56.png,fairness.virtue,left,,,,,,,,,,,0,18,18,18,,,,,258.760427291003,,,,,,,,,,,,left,0.885985722001351,AMP_prac,left,0.885985722001351,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
failure,images/symbols/symbol_35.png,loyalty.vice,right,,,,,,,,,,,0,19,19,19,,,,,259.8243372910001,,,,,,,,,,,,right,0.8962276609963737,AMP_prac,right,0.8962276609963737,1,,,999,2019_Apr_10_1012,mf_amp_cond1,3.0.7,60.19965854798528,
