words,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,1.465273599998909,,,,,,,,,,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,,1.497768121997069,None,,,,,,,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,,1.7975233149991254,,left,0.4990260409977054,,,,,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,,2.630680479000148,,,,,None,74,None,,,,,,,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
car,images/symbols/symbol_9.png,,,,,,,,,0,0,0,0,,,,,,,,4.7480896880006185,,,,,,,,left,0.8519688460000907,AMP_prac,left,0.8519688460000907,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
keyboard,images/symbols/symbol_40.png,,,,,,,,,0,1,1,2,,,,,,,,5.5969312460001674,,,,,,,,right,0.6824149269959889,AMP_prac,right,0.6824149269959889,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
banana,images/symbols/symbol_68.png,,,,,,,,,0,2,2,1,,,,,,,,6.380761677995906,,,,,,,,left,0.6179947159980657,AMP_prac,left,0.6179947159980657,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
scarf,images/symbols/symbol_54.png,,,,,,,,,0,3,3,3,,,,,,,,7.214798326000164,,,,,,,,right,0.6700015099995653,AMP_prac,right,0.6700015099995653,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
restore,images/symbols/symbol_65.png,care.virtue,left,,,,,,,,,,,0,0,0,0,,,,13.312746347000939,,,,,,,,left,0.20007082499796525,AMP_prac,left,0.20007082499796525,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
promote,images/symbols/symbol_15.png,sanctity.virtue,left,,,,,,,,,,,0,1,1,1,,,,13.931454885001585,,,,,,,,right,0.4521260479959892,AMP_prac,right,0.4521260479959892,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
lies,images/symbols/symbol_28.png,fairness.vice,right,,,,,,,,,,,0,2,2,2,,,,14.548824500001501,,,,,,,,right,0.4528406190001988,AMP_prac,right,0.4528406190001988,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
ban,images/symbols/symbol_80.png,loyalty.vice,right,,,,,,,,,,,0,3,3,3,,,,15.148193134002213,,,,,,,,left,0.4355468200010364,AMP_prac,left,0.4355468200010364,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
sharing,images/symbols/symbol_29.png,loyalty.virtue,left,,,,,,,,,,,0,4,4,4,,,,15.748179542002617,,,,,,,,right,0.4355127099988749,AMP_prac,right,0.4355127099988749,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
twild,images/symbols/symbol_61.png,nonword,None,,,,,,,,,,,0,5,5,5,,,,16.29883351299941,,,,,,,,left,0.3860964250052348,AMP_prac,left,0.3860964250052348,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
agreement,images/symbols/symbol_27.png,fairness.virtue,left,,,,,,,,,,,0,6,6,6,,,,16.864561383001273,,,,,,,,right,0.40203323400055524,AMP_prac,right,0.40203323400055524,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
rejected,images/symbols/symbol_48.png,authority.vice,right,,,,,,,,,,,0,7,7,7,,,,17.71411485000135,,,,,,,,left,0.6855998600003659,AMP_prac,left,0.6855998600003659,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
gnoozz,images/symbols/symbol_23.png,nonword,None,,,,,,,,,,,0,8,8,8,,,,18.631544445001055,,,,,,,,left,0.7524530410009902,AMP_prac,left,0.7524530410009902,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
clean,images/symbols/symbol_56.png,sanctity.virtue,left,,,,,,,,,,,0,9,9,9,,,,19.512684945002547,,,,,,,,left,0.7172248579954612,AMP_prac,left,0.7172248579954612,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
terrorist,images/symbols/symbol_33.png,loyalty.vice,right,,,,,,,,,,,0,10,10,10,,,,20.447156419002567,,,,,,,,left,0.7654212370034656,AMP_prac,left,0.7654212370034656,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
creinned,images/symbols/symbol_37.png,nonword,None,,,,,,,,,,,0,11,11,11,,,,21.53166668299673,,,,,,,,right,0.9194270030056941,AMP_prac,right,0.9194270030056941,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
protect,images/symbols/symbol_18.png,fairness.virtue,left,,,,,,,,,,,0,12,12,12,,,,22.614249418002146,,,,,,,,left,0.9190980290004518,AMP_prac,left,0.9190980290004518,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
praise,images/symbols/symbol_72.png,authority.virtue,left,,,,,,,,,,,0,13,13,13,,,,23.648468309002055,,,,,,,,left,0.869892600007006,AMP_prac,left,0.869892600007006,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
sexual,images/symbols/symbol_46.png,sanctity.vice,right,,,,,,,,,,,0,14,14,14,,,,24.731350572001247,,,,,,,,right,0.9168402439972851,AMP_prac,right,0.9168402439972851,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
energy,images/symbols/symbol_45.png,sanctity.virtue,left,,,,,,,,,,,0,15,15,15,,,,25.781524042002275,,,,,,,,left,0.8853738739999244,AMP_prac,left,0.8853738739999244,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
pleasant,images/symbols/symbol_67.png,control,right,,,,,,,,,,,0,16,16,16,,,,26.764405317000637,,,,,,,,right,0.8132675939996261,AMP_prac,right,0.8132675939996261,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
loyalty,images/symbols/symbol_57.png,loyalty.virtue,left,,,,,,,,,,,0,17,17,17,,,,28.14729537099629,,,,,,,,left,1.2148450040040188,AMP_prac,left,1.2148450040040188,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
winze,images/symbols/symbol_35.png,nonword,None,,,,,,,,,,,0,18,18,18,,,,29.965035526001884,,,,,,,,right,1.6531508089974523,AMP_prac,right,1.6531508089974523,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
help,images/symbols/symbol_8.png,care.virtue,left,,,,,,,,,,,0,19,19,19,,,,30.997488376997353,,,,,,,,left,0.8654204659978859,AMP_prac,left,0.8654204659978859,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
actively,images/symbols/symbol_22.png,authority.virtue,left,,,,,,,,,,,0,20,20,20,,,,31.99843724099628,,,,,,,,right,0.8332591610014788,AMP_prac,right,0.8332591610014788,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
feuld,images/symbols/symbol_5.png,nonword,None,,,,,,,,,,,0,21,21,21,,,,33.11434069700044,,,,,,,,left,0.9482234030001564,AMP_prac,left,0.9482234030001564,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
growth,images/symbols/symbol_41.png,care.virtue,left,,,,,,,,,,,0,22,22,22,,,,34.181592635002744,,,,,,,,right,0.8996453430008842,AMP_prac,right,0.8996453430008842,1,,999,2019_Apr_10_1019,mf_amp_cond1,3.0.7,59.75553972986131,
