words,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,0.5983281000007992,,,,,,,,,,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,,0.883121694001602,None,,,,,,,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,,1.1628808509994997,,right,0.8134405800010427,,,,,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,,2.3119025609994424,,,,,None,79,None,,,,,,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
car,images/symbols/symbol_9.png,,,,,,,,,0,0,0,0,,,,,,,,3.6462928769979044,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
ensure,images/symbols/symbol_69.png,fairness.virtue,left,,,,,,,,,,,0,0,0,0,,,,5.846960982999008,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
violence,images/symbols/symbol_68.png,care.vice,right,,,,,,,,,,,0,1,1,1,,,,6.61122904199874,,,,,,,,right,AMP_prac,right,0.6008194269961677,1,,0.6008194269961677,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
actively,images/symbols/symbol_60.png,authority.virtue,left,,,,,,,,,,,0,2,2,2,,,,7.096373756001412,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
gun,images/symbols/symbol_51.png,authority.vice,right,,,,,,,,,,,0,3,3,3,,,,7.4133187609986635,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
strong,images/symbols/symbol_3.png,loyalty.virtue,left,,,,,,,,,,,0,4,4,4,,,,7.597982815997966,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
threatened,images/symbols/symbol_82.png,fairness.vice,right,,,,,,,,,,,0,5,5,5,,,,7.764347892996739,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
promised,images/symbols/symbol_4.png,loyalty.virtue,left,,,,,,,,,,,0,6,6,6,,,,8.081527586000448,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
terrorist,images/symbols/symbol_53.png,loyalty.vice,right,,,,,,,,,,,0,7,7,7,,,,8.246773041995766,,,,,,,,None,AMP_prac,None,[],1,,,999,2019_Apr_10_1021,mf_amp_cond1,3.0.7,59.97271421450233,
