words,symbols,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,right,1.5183047829996212,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.8724008489953121,None,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.1473720360008883,,right,0.5163355949989636,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.9835062400015886,,,,,None,60,None,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
car,images/symbols/symbol_9.png,,,,,,,,,,0,0,0,0,,,,,,,,,,,,4.583913477996248,,,,,,,,None,AMP_prac,None,[],5,,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
pleasant,images/symbols/symbol_44.png,control,right,,,,,,,,,,,,0,0,0,0,,,,,,,,7.268544683000073,,,,,,,,None,AMP_prac,None,[],5,,None,,,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.044,,,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.999,,,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.97,,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
bisebell,,,,&&&&&&&,,,,,,,,,,,,,,,0,0,0,1,,,,12.867968717997428,,,,,,,,,LDT_prac,left,1.4697882139953435,,,,,,,,,,,left,1.4697882139953435,0,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
keyboard,,,,&&&&&&&,,,,,,,,,,,,,,,0,1,1,0,,,,15.884389432998432,,,,,,,,,LDT_prac,right,1.1494771989964647,,,,,,,,,,,right,1.1494771989964647,0,,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1027,mf_amp_cond1,3.0.7,59.785236125617274,
