words,symbols,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.731104310005321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.007780617997923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.655108586994174,,right,3.8168302240010235,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80376960799913,,,,,None,3,None,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
scarf,images/symbols/symbol_54.png,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,10.769418288997258,,,,,,,,None,AMP_prac,None,[],5,,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
roossed,images/symbols/symbol_74.png,nonword,None,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,13.438433149996854,,,,,,,,None,AMP_prac,None,[],5,,None,,,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15.078,,,,,,,,,,,,,999,2019_Apr_10_1028,mf_amp_cond1,3.0.7,59.33830878729698,
