words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,0.9181552629961516,,,,,,,,,,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,1.2217374729953008,None,,,,,,,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,1.521451951994095,,right,0.7658011390012689,,,,,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,2.9221880229961243,,,,,None,29,None,,,,,,,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,0,0,0,,,,,,,,,,5.61953492199973,,,,,,,,left,0.6712235579980188,AMP_prac,left,0.6712235579980188,5,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,1,1,2,,,,,,,,,,6.5364660209961585,,,,,,,,right,0.6530155150030623,AMP_prac,right,0.6530155150030623,5,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,2,2,1,,,,,,,,,,7.552939178000088,,,,,,,,left,0.7311629539981368,AMP_prac,left,0.7311629539981368,5,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,3,3,3,,,,,,,,,,8.50210437199712,,,,,,,,right,0.6849934429992572,AMP_prac,right,0.6849934429992572,5,,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1040,mf_amp_cond1,3.0.7,60.2307333390339,
,,,,,,,,,,,,,,,,,,,,,,14.402696763994754,,,,,,,,,,,,,,,,,,,,
