words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.153336877003312,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,,1.594779037994158,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,,1.8267091589950724,,right,0.8333764689959935,,,,,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,,2.9916238019941375,,,,,None,57,None,,,,,,,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,0,0,0,,,,,,,,5.590701686996908,,,,,,,,left,0.586355374995037,AMP_prac,left,0.586355374995037,1,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,1,1,2,,,,,,,,6.425132794000092,,,,,,,,right,0.5856772249971982,AMP_prac,right,0.5856772249971982,1,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,2,2,1,,,,,,,,7.224715311000182,,,,,,,,left,0.5550651779994951,AMP_prac,left,0.5550651779994951,1,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,3,3,3,,,,,,,,13.14347778899537,,,,,,,,left,5.670944229001179,AMP_prac,left,5.670944229001179,1,,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
progress,&&&&&&&&,images/symbols/symbol_48.png,authority.virtue,left,,,,,,,,,,,0,0,0,0,,,,19.64026472599653,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,right,0.650136273005046,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
prosecution,&&&&&&&&&&&,images/symbols/symbol_40.png,authority.vice,right,,,,,,,,,,,0,1,1,1,,,,20.50852083299833,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,left,0.6200084399970365,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
great,&&&&&,images/symbols/symbol_41.png,loyalty.virtue,left,,,,,,,,,,,0,2,2,2,,,,21.425105272996007,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,right,0.6493870679987594,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
protect,&&&&&&&,images/symbols/symbol_45.png,fairness.virtue,left,,,,,,,,,,,0,3,3,3,,,,22.339553360994614,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,left,0.6460839209976257,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
plonx,&&&&&,images/symbols/symbol_25.png,nonword,None,,,,,,,,,,,0,4,4,4,,,,23.5464480169976,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,right,0.9365351050000754,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
rebels,&&&&&&,images/symbols/symbol_13.png,authority.vice,right,,,,,,,,,,,0,5,5,5,,,,24.408662965994154,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,left,0.5987516999957734,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
powerful,&&&&&&&&,images/symbols/symbol_35.png,authority.virtue,left,,,,,,,,,,,0,6,6,6,,,,25.12966257699736,,,,,,,,,,AMP_prac,left,5.670944229001179,1,,right,0.4528408769983798,999,2019_Apr_10_1041,mf_amp_cond1,3.0.7,59.12716968956683,
