words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.0486520400008885,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,1.318680795004184,None,,,,,,,,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,1.7996779090026394,,left,0.7659543359986856,,,,,,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,6.517236767998838,,,,,None,1.2493189160013571,57,None,,,,,,,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,0,0,3,,,,,,,,,,13.831653396999172,,,,,,,,,left,0.9487062259941013,AMP_prac,left,0.9487062259941013,5,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,1,1,2,,,,,,,,,,14.980052322003758,,,,,,,,,right,0.9648759439951391,AMP_prac,right,0.9648759439951391,5,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,2,2,1,,,,,,,,,,16.349442757004,,,,,,,,,left,1.183629507002479,AMP_prac,left,1.183629507002479,5,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,3,3,0,,,,,,,,,,18.348967739002546,,,,,,,,,right,1.816839622995758,AMP_prac,right,1.816839622995758,5,,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1046,mf_amp_cond1,3.0.7,59.85903329252343,
,,,,,,,,,,,,,,,,,,,,,,24.864688359004504,,,,,,,,,,,,,,,,,,,,,
