words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,0.9933565889950842,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,,1.4222506600053748,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,,1.9506431320041884,,right,1.010323624999728,,,,,,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,,4.368471338006202,,,,,None,1.030114629000309,20,None,,,,,,,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,0,0,3,,,,,,,,12.450150861004659,,,,,,,,,right,1.346192766999593,AMP_prac,right,1.346192766999593,6,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,1,1,2,,,,,,,,13.766576289002842,,,,,,,,,left,1.0508845259973896,AMP_prac,left,1.0508845259973896,6,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,2,2,1,,,,,,,,15.233117747004144,,,,,,,,,right,1.2006771710002795,AMP_prac,right,1.2006771710002795,6,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,3,3,0,,,,,,,,16.79990022300626,,,,,,,,,right,1.309424802006106,AMP_prac,right,1.309424802006106,6,,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
lighnde,&&&&&&&,images/symbols/symbol_57.png,nonword,None,,,,,,,,,,,0,0,0,0,,,,23.067477176002285,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,left,0.9836798579999595,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
honored,&&&&&&&,images/symbols/symbol_47.png,authority.virtue,left,,,,,,,,,,,0,1,1,1,,,,24.250431572007074,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,right,0.9109854939961224,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
safe,&&&&,images/symbols/symbol_30.png,care.virtue,left,,,,,,,,,,,0,2,2,2,,,,25.467052274005255,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,left,0.9651262289989972,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
improve,&&&&&&&,images/symbols/symbol_43.png,care.virtue,left,,,,,,,,,,,0,3,3,3,,,,26.66680758500297,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,right,0.9332463280006777,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
victims,&&&&&&&,images/symbols/symbol_77.png,care.vice,right,,,,,,,,,,,0,4,4,4,,,,27.882043135999993,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,left,0.9480223220016342,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
forced,&&&&&&,images/symbols/symbol_10.png,fairness.vice,right,,,,,,,,,,,0,5,5,5,,,,29.114018413005397,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,right,0.9471759100051713,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
died,&&&&,images/symbols/symbol_29.png,care.vice,right,,,,,,,,,,,0,6,6,6,,,,30.315934228005062,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,left,0.9320236620042124,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
useful,&&&&&&,images/symbols/symbol_19.png,authority.virtue,left,,,,,,,,,,,0,7,7,7,,,,31.532562138003414,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,right,0.9617847749977955,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
killed,&&&&&&,images/symbols/symbol_53.png,care.vice,right,,,,,,,,,,,0,8,8,8,,,,32.716702211000666,,,,,,,,,,,AMP_prac,right,1.309424802006106,6,,left,0.9171807099992293,999,2019_Apr_10_1103,mf_amp_cond1,3.0.7,59.720775752375395,
