words,masks,symbols,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5297120489994995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8861804859989206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1804786720022094,,right,1.3998680769946077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.365920272997755,,,,,None,1.3601106079950114,38,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,12.41063291500177,,,,,,,,,right,0.6936161019984866,AMP_prac,right,0.6936161019984866,1,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,13.594261330996233,,,,,,,,,left,0.9431682110007387,AMP_prac,left,0.9431682110007387,1,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,14.710580933999154,,,,,,,,,right,0.8776584009974613,AMP_prac,right,0.8776584009974613,1,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,15.979212903999723,,,,,,,,,left,1.0249392049954622,AMP_prac,left,1.0249392049954622,1,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
