words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.565148566995049,,,,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,1.9350888720000512,None,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,2.794013315004122,,right,0.5018731230011326,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,3.926446631005092,,,,,None,52,None,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,0,0,1,,,,,,,,,,6.793302260004566,,,,,,,,left,0.573011922002479,AMP_prac,left,0.573011922002479,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,1,1,2,,,,,,,,,,7.559887283001444,,,,,,,,left,0.5379866570001468,AMP_prac,left,0.5379866570001468,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,2,2,3,,,,,,,,,,8.409078383003362,,,,,,,,right,0.620455652999226,AMP_prac,right,0.620455652999226,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,3,3,0,,,,,,,,,,10.42722121800034,,,,,,,,right,1.7887261439973372,AMP_prac,right,1.7887261439973372,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,60.17434976178915,
,,,,,,,,,,,,,,,,,,,,,,15.858958294003969,,,,,,,,,,,,,,,,,,,,
