words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.6564612349975505,,,,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,1.925090454002202,None,,,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,2.138989743005368,,left,0.6567214490059996,,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,3.255122095004481,,,,,None,57,None,,,,,,,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,0,0,0,,,,,,,,,,5.187159086002794,,,,,,,,left,0.6007358660062891,AMP_prac,left,0.6007358660062891,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,1,1,2,,,,,,,,,,6.021384406005382,,,,,,,,left,0.6090404810020118,AMP_prac,left,0.6090404810020118,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,2,2,3,,,,,,,,,,6.804061297007138,,,,,,,,left,0.5513833599979989,AMP_prac,left,0.5513833599979989,6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,3,3,1,,,,,,,,,,7.989075970006525,,,,,,,,None,,AMP_prac,None,[],6,,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_13_0814,mf_amp_cond1,3.0.7,59.97931385605463,
,,,,,,,,,,,,,,,,,,,,,,17.485970231005922,,,,,,,,,,,,,,,,,,,,
