words,masks,symbols,conditionfile,corr_ans,category,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,resp_AMP_trials.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,right,1.0766178449994186,,,,,,,,,,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3856704119971255,None,,,,,,,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.366377193000517,,right,0.3531916249994538,,,,,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1161530669996864,,,,,None,32,None,,,,,,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,0,0,0,2,,,,,,,,,,,,4.883903042995371,,,,,,,,None,AMP_prac,None,[],1,,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
torture,&&&&&&&,images/symbols/symbol_55.png,condition_files/AMP_rep4.csv,right,care.vice,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,11.050292371000978,,,,,,,,,AMP_prac,None,[],1,,left,0.5223024080041796,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
praise,&&&&&&,images/symbols/symbol_12.png,condition_files/AMP_rep4.csv,left,authority.virtue,,,,,,,,,,,0,0,0,3,0,1,1,1,,,,11.815691014999175,,,,,,,,,AMP_prac,None,[],1,,left,0.5391472020055517,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
death,&&&&&,images/symbols/symbol_27.png,condition_files/AMP_rep4.csv,right,care.vice,,,,,,,,,,,0,0,0,3,0,2,2,2,,,,12.816346712999803,,,,,,,,,AMP_prac,None,[],1,,right,0.7725596080053947,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
sexual,&&&&&&,images/symbols/symbol_1.png,condition_files/AMP_rep4.csv,right,sanctity.vice,,,,,,,,,,,0,0,0,3,0,3,3,3,,,,13.84948357599933,,,,,,,,,AMP_prac,None,[],1,,left,0.8094002279976849,999,2019_Apr_13_0815,mf_amp_cond1,3.0.7,59.71800358534182,
