words,masks,symbols,conditionfile,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,resp_AMP_trials.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,right,1.6698185839995858,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.758220083000197,None,,,,,,,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.338399127002049,,right,0.8357295040041208,,,,,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.605231932000606,,,,,None,74,None,,,,,,,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,0,0,0,0,,,,,,,,,,,,9.904425506996631,,,,,,,,left,0.7018614000044181,AMP_prac,left,0.7018614000044181,3,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,0,1,1,2,,,,,,,,,,,,10.754210361999867,,,,,,,,right,0.6259264430045732,AMP_prac,right,0.6259264430045732,3,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,0,2,2,3,,,,,,,,,,,,11.620760425001208,,,,,,,,left,0.6342755739970016,AMP_prac,left,0.6342755739970016,3,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,0,3,3,1,,,,,,,,,,,,12.371173200997873,,,,,,,,None,,AMP_prac,None,[],3,,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
peace,&&&&&,images/symbols/symbol_8.png,condition_files/AMP_rep3.csv,care.virtue,left,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,18.454727126998478,,,,,,,,,,AMP_prac,None,[],3,,right,0.593054930002836,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
slypped,&&&&&&&,images/symbols/symbol_65.png,condition_files/AMP_rep3.csv,nonword,None,,,,,,,,,,,0,0,0,2,0,1,1,1,,,,19.3209690329968,,,,,,,,,,AMP_prac,None,[],3,,left,0.6253211949951947,999,2019_Apr_13_0952,mf_amp_cond1,3.0.7,59.81360108135743,
