words,masks,symbols,conditionfile,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0029201259967522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035054288993706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3840601189949666,,left,0.7680972800008021,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16695229299512,,,,,None,7,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,3.9840323549942696,,,,,,,,left,0.6064082270022482,AMP_prac,left,0.6064082270022482,3,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,4.511219219995837,,,,,,,,None,,AMP_prac,None,[],3,,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
care,&&&&,images/symbols/symbol_40.png,condition_files/AMP_rep2.csv,care.virtue,left,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,6.4846333019959275,,,,,,,,,,AMP_prac,None,[],3,,right,0.7190816049987916,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
promises,&&&&&&&&,images/symbols/symbol_52.png,condition_files/AMP_rep2.csv,fairness.virtue,left,,,,,,,,,,,,0,0,0,1,0,1,1,1,,,,,,,,,,,,7.234639750997303,,,,,,,,,,AMP_prac,None,[],3,,left,0.5093391150003299,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
sharing,&&&&&&&,images/symbols/symbol_15.png,condition_files/AMP_rep2.csv,loyalty.virtue,left,,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,,,,7.984221046994207,,,,,,,,,,AMP_prac,None,[],3,,right,0.5167010369987111,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
faith,&&&&&,images/symbols/symbol_36.png,condition_files/AMP_rep2.csv,sanctity.virtue,left,,,,,,,,,,,,0,0,0,1,0,3,3,3,,,,,,,,,,,,8.61913971699687,,,,,,,,,,AMP_prac,None,[],3,,None,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.6352632790003554,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
care,&&&&,images/symbols/symbol_40.png,condition_files/AMP_rep1.csv,care.virtue,left,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,12.168084833996545,,,,,,,,,,AMP_prac,None,[],3,,None,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.119225522998022,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
care,&&&&,images/symbols/symbol_40.png,condition_files/AMP_rep4.csv,care.virtue,left,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,14.153014984993206,,,,,,,,,,AMP_prac,None,[],3,,None,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
