words,masks,symbols,conditionfile,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,mask,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.7358623390027788,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7743665340021835,None,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5078940160019556,,right,0.25132355200184975,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1742948590035667,,,,,None,70,None,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,3.7737344640045194,,,,,,,,right,0.25611222000588896,AMP_prac,right,0.25611222000588896,6,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,4.207718628000293,,,,,,,,None,,AMP_prac,None,[],6,,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
torture,&&&&&&&,images/symbols/symbol_64.png,condition_files/AMP_rep2.csv,care.vice,right,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,6.025390164999408,,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,999,2019_Apr_13_1011,mf_amp_cond1,3.0.7,59.82107790759254,
