words,masks,symbols,conditionfile,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,key_resp_instr_memtask.keys,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7345636109967018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7777778059971752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6784634049981833,,right,0.6174420000024838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76176605100045,,,,,None,12,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,6.177231144996767,,,,,,,,left,0.6514492639980745,AMP_prac,left,0.6514492639980745,6,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,7.044469127999037,,,,,,,,right,0.6352393210036098,AMP_prac,right,0.6352393210036098,6,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,7.910678720996657,,,,,,,,left,0.6340407000025152,AMP_prac,left,0.6340407000025152,6,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,8.661416240000108,,,,,,,,None,,AMP_prac,None,[],6,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
freedom,&&&&&&&,images/symbols/symbol_49.png,condition_files/AMP_rep1.csv,sanctity.virtue,left,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,14.361679526999069,,,,,,,,,,AMP_prac,None,[],6,,right,0.6519517449996783,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
terrorists,&&&&&&&&&&,images/symbols/symbol_69.png,condition_files/AMP_rep1.csv,fairness.vice,right,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,16.11116836000292,,,,,,,,,,AMP_prac,None,[],6,,left,1.5023335570003837,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
ban,&&&,images/symbols/symbol_40.png,condition_files/AMP_rep1.csv,loyalty.vice,right,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,17.312956966001366,,,,,,,,,,AMP_prac,None,[],6,,left,0.9666146020026645,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
fair,&&&&,images/symbols/symbol_23.png,condition_files/AMP_rep1.csv,fairness.virtue,left,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,18.328777707996778,,,,,,,,,,AMP_prac,None,[],6,,right,0.7692064330040012,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
support,&&&&&&&,images/symbols/symbol_19.png,condition_files/AMP_rep1.csv,loyalty.virtue,left,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,19.311634322999453,,,,,,,,,,AMP_prac,None,[],6,,left,0.7487920040002791,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
opportunity,&&&&&&&&&&&,images/symbols/symbol_73.png,condition_files/AMP_rep1.csv,fairness.virtue,left,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,20.27921370099648,,,,,,,,,,AMP_prac,None,[],6,,right,0.719689808000112,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
riot,&&&&,images/symbols/symbol_58.png,condition_files/AMP_rep1.csv,authority.vice,right,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,21.244674292000127,,,,,,,,,,AMP_prac,None,[],6,,left,0.7329849119996652,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
fraud,&&&&&,images/symbols/symbol_30.png,condition_files/AMP_rep1.csv,fairness.vice,right,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,22.229373044996464,,,,,,,,,,AMP_prac,None,[],6,,right,0.736414140999841,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
rhaps,&&&&&,images/symbols/symbol_35.png,condition_files/AMP_rep1.csv,nonword,None,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,23.17748267800198,,,,,,,,,,AMP_prac,None,[],6,,left,0.7011296109994873,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
credit,&&&&&&,images/symbols/symbol_43.png,condition_files/AMP_rep1.csv,fairness.virtue,left,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,24.012107848997402,,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.9522884109974257,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
freedom,&&&&&&&,images/symbols/symbol_49.png,condition_files/AMP_rep2.csv,sanctity.virtue,left,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,26.496922735001135,,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.45294485200429335,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
freedom,&&&&&&&,images/symbols/symbol_49.png,condition_files/AMP_rep3.csv,sanctity.virtue,left,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,27.496511445999204,,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,condition_files/AMP_rep3.csv,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.48613753599784104,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
freedom,&&&&&&&,images/symbols/symbol_49.png,condition_files/AMP_rep4.csv,sanctity.virtue,left,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,28.579603031997976,,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,condition_files/AMP_rep4.csv,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0372726440036786,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32.6,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1018,mf_amp_cond1,3.0.7,59.577379163706304,
