words,masks,symbols,conditionfile,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,corr,resp_LDT_ready.keys,resp_LDT_trial.keys,LDT_rating.response,LDT_rating.rt,key_resp_instr_memtask.keys,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.4367096460046014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7893050269995001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.369247059999907,,right,0.5360503940028138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3023741920042085,,,,,None,39,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,3.834027192002395,,,,,,,,None,AMP_prac,None,[],6,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
civilians,&&&&&&&&&,images/symbols/symbol_37.png,condition_files/AMP_rep2.csv,care.vice,right,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,5.453085164001095,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.8512599569949089,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
civilians,&&&&&&&&&,images/symbols/symbol_37.png,condition_files/AMP_rep3.csv,care.vice,right,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,6.736162396999134,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,condition_files/AMP_rep3.csv,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.3519870180025464,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
civilians,&&&&&&&&&,images/symbols/symbol_37.png,condition_files/AMP_rep4.csv,care.vice,right,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,,,,,7.452101016002416,,,,,,,,,AMP_prac,None,[],6,,None,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
