words,mask,category,corr_ans,masks,symbols,conditionfile,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.830394496995723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.214166199999454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
keyboard,&&&&&&&,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.343849725999462,,left,0.6023114620038541,LDT_prac,left,0.6023114620038541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
bisebell,&&&&&&&,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21105454100325,,right,0.5031601090013282,LDT_prac,right,0.5031601090013282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
everything,&&&&&&&&&&,neutral,left,,,,,,,,0,0,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,12.378113282000413,,,,LDT_prac,right,0.5031601090013282,0,,right,0.5023289210002986,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
phigns,&&&&&&,nonword,left,,,,,,,,0,1,1,127,,,,,,,,,,,,,,,,,,,,,,,,,,14.111922657000832,,,,LDT_prac,right,0.5031601090013282,0,,left,0.4870400720028556,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
crict,&&&&&,nonword,left,,,,,,,,0,2,2,197,,,,,,,,,,,,,,,,,,,,,,,,,,15.89901491800265,,,,LDT_prac,right,0.5031601090013282,0,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19.049,,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.56118896100088,,,,,,,,,,,,,,left,0.5359231080001337,,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.244717230001697,,,,,,,,,,,,,,,,,None,43,None,,,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
scarf,,,,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,22.11173021599825,,,,AMP_prac,None,[],,,,,,,,,,,,,,None,6,,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep4.csv,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,23.91286596700229,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep4.csv,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.135214731002634,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,25.928613980999216,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5356034720025491,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,27.278176428000734,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5695379099997808,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
