,category,corr_ans,words,mask,nonwords
0,care.vice,right,killed,&&&&&&&&&&,frojecting
1,sanctity.virtue,left,faith,&&&&&,pulge
2,care.virtue,left,compassion,&&&&,tove
3,nonword,,pullness,&&&&&&,erdest
4,authority.virtue,left,celebrated,&&&&&&&&&&,neutralust
5,control,,unpleasant,&&&&&&,letish
6,nonword,,saned,&&&&&&&&&&,ejanulated
7,sanctity.vice,right,corruption,&&&&,yane
8,care.virtue,left,growth,&&&&&&&,menizen
9,sanctity.virtue,left,freedom,&&&&&&&&&,gillipede
10,sanctity.virtue,left,strength,&&&,oam
11,care.virtue,left,help,&&&&&&&,pharing
12,authority.virtue,left,honored,&&&&&&&&,counpy's
13,sanctity.vice,right,conspiracy,&&&&&&&&&&&,nomparisons
14,fairness.virtue,left,benefit,&&&&&&&&,thabbily
15,care.vice,right,torture,&&&&&&,squets
16,loyalty.vice,right,men,&&&&&&&&,fontacts
17,loyalty.vice,right,troops,&&&&&&&&,emassion
18,loyalty.vice,right,terrorist,&&&&&,scock
19,loyalty.virtue,left,promised,&&&&&&&&&&&,ronviolence
20,sanctity.vice,right,racist,&&&&&&&,festate
21,nonword,,gusinesslike,&&&&&&&&&,refuejing
22,sanctity.vice,right,scandal,&&&&&&&&,crinking
23,care.virtue,left,good,&&&&&&&&&&,frocessing
24,loyalty.virtue,left,friends,&&&&&&&&&&,galamitous
25,sanctity.virtue,left,perfect,&&&&&&,forepo
26,loyalty.vice,right,betrayal,&&&&&&&&,divility
27,fairness.virtue,left,promises,&&&&&&&,halaise
28,fairness.vice,right,forced,&&&&&&,fostet
29,nonword,,erks,&&&&&&&&,ugeasily
30,sanctity.virtue,left,hand,&&&&&&&&&&&&,feleological
31,authority.virtue,left,trust,&&&&&&,strofe
32,care.vice,right,injured,&&&&&&&&&,Lacedonia
33,loyalty.vice,right,army,&&&&&&&&,slending
34,sanctity.virtue,left,respect,&&&&&&&&&&,ecgagement
35,authority.vice,right,arrests,&&&&&&&&&,pescinded
36,care.virtue,left,safe,&&&&&&&&&&,focomotive
37,loyalty.virtue,left,sharing,&&&&&&&&&&,totalestic
38,nonword,,prones,&&&&&&&&&&&&,unreflectuve
39,fairness.virtue,left,opportunity,&&&&&&,gikely
40,authority.vice,right,prosecution,&&&&&&&&&&&,egpeditious
41,authority.virtue,left,powerful,&&&&&&&&,tracious
42,loyalty.vice,right,groups,&&&&,ning
43,care.vice,right,attacks,&&&&&&&,gedious
44,fairness.virtue,left,credit,&&&&&&&&&&&,mightingale
45,authority.vice,right,penalty,&&&&&&&,chreams
46,loyalty.virtue,left,praised,&&&&&&&&&&&,cromiscuity
47,authority.vice,right,rejected,&&&&,wump
48,nonword,,ilportation,&&&&&&&,smapper
49,fairness.vice,right,lies,&&&&&&,laming
50,care.virtue,left,improve,&&&&&&&&&,crilfully
51,care.vice,right,victim,&&&&&,atson
52,authority.virtue,left,ability,&&&&&&&&&&&&&,idexpressible
53,fairness.virtue,left,free,&&&&&&&&&&,ammessment
54,loyalty.virtue,left,strong,&&&&&&&&&&&&&,wonderfujnoss
55,nonword,,reviked,&&&&&&,gazily
56,care.vice,right,violence,&&&&&&&,troubla
57,nonword,,elduringly,&&&&&&&&&&&&&,synchronazers
58,fairness.virtue,left,integrity,&&&&&&&&&,faspberry
59,authority.vice,right,rebels,&&&&&&&&,proached
60,authority.virtue,left,progress,&&&&&&&&&&,honstables
61,fairness.vice,right,terrorists,&&&&&&&&&,ittutable
62,fairness.vice,right,threatened,&&&&&&&&,lachelor
63,authority.vice,right,officers,&&&&&&,sgrawl
64,sanctity.vice,right,harassment,&&&&&&,greaks
65,care.virtue,left,peace,&&&&&&&&&,chressing
66,fairness.vice,right,illegal,&&&&&,tabin
67,loyalty.vice,right,ban,&&&&&&&&&,grovelire
68,sanctity.virtue,left,promote,&&&&&&&&&&,Oregoniuns
69,authority.virtue,left,peaceful,&&&&&&,Cunday
70,fairness.vice,right,hate,&&&&&,lenon
71,fairness.vice,right,prison,&&&&&&&&&,baladroit
72,nonword,,asn,&&&&&&&&&,gondensed
73,sanctity.vice,right,war,&&&&&&&&,suggists
74,control,,pleasant,&&&&&&&&&&,chonograph
75,nonword,,mecan,&&&&&&&,emports
76,sanctity.vice,right,sexual,&&&&&&&,Loorish
77,loyalty.virtue,left,support,&&&&&,pafer
78,fairness.virtue,left,protect,&&&&&&&&&&&,vicissifude
79,authority.vice,right,riot,&&&&&&&&,sliptery
80,care.vice,right,victims,&&&&&&&&,drumbled
81,loyalty.virtue,left,great,&&&&&,ablow
82,fairness.vice,right,terrorists,&&&&&&&&&&,galamitous
83,fairness.vice,right,threatened,&&&&&&&&,counpy's
84,authority.vice,right,penalty,&&&&&,lenon
85,authority.vice,right,arrests,&&&&&&&&&&,frojecting
86,authority.virtue,left,honored,&&&&&&,gikely
87,care.virtue,left,growth,&&&&&,scock
88,sanctity.virtue,left,strength,&&&&&&&&,tracious
89,authority.virtue,left,trust,&&&&&,ablow
90,authority.vice,right,rejected,&&&&&&,strofe
91,nonword,,elduringly,&&&&&&&&&&,Oregoniuns
92,loyalty.vice,right,ban,&&&&,wump
93,authority.vice,right,riot,&&&&,ning
94,care.virtue,left,good,&&&&&&&,chreams
95,fairness.vice,right,illegal,&&&&&&&&&&&,nomparisons
96,fairness.virtue,left,opportunity,&&&&&&,Cunday
97,nonword,,mecan,&&&&&,pafer
98,fairness.virtue,left,integrity,&&&&&&,forepo
99,care.vice,right,victims,&&&&&&&,smapper
100,care.virtue,left,help,&&&&&&&,Loorish
101,care.vice,right,killed,&&&&&&,fostet
102,care.virtue,left,improve,&&&&,tove
103,authority.virtue,left,ability,&&&&&&&&,lachelor
104,sanctity.vice,right,corruption,&&&&&,pulge
105,sanctity.virtue,left,promote,&&&&&&&&&&&&&,idexpressible
106,sanctity.virtue,left,hand,&&&&&&&&&&,chonograph
107,fairness.virtue,left,protect,&&&&,yane
108,nonword,,prones,&&&&&&&&&&,ecgagement
109,authority.virtue,left,peaceful,&&&&&&&&&&&&&,synchronazers
110,sanctity.virtue,left,respect,&&&&&&&,festate
111,sanctity.vice,right,conspiracy,&&&&&&&&,ugeasily
112,care.vice,right,torture,&&&&&&&&&,refuejing
113,care.vice,right,attacks,&&&&&&&&&&&&&,wonderfujnoss
114,fairness.virtue,left,benefit,&&&&&&&&&,Lacedonia
115,loyalty.vice,right,betrayal,&&&&&&&,gedious
116,fairness.vice,right,hate,&&&&&&&&,sliptery
117,loyalty.vice,right,men,&&&&&&,laming
118,nonword,,asn,&&&&&&&&&&&&,feleological
119,sanctity.virtue,left,faith,&&&&&&&&,crinking
120,authority.vice,right,prosecution,&&&&&&&&&,gondensed
121,loyalty.vice,right,terrorist,&&&&&&&,menizen
122,authority.virtue,left,powerful,&&&&&&&&&&&,cromiscuity
