,category,corr_ans,masks,words,symbols
0,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_12.png
1,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_81.png
2,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_68.png
3,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_50.png
4,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_21.png
5,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_29.png
6,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_48.png
7,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_65.png
8,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_19.png
9,nonword,,&&&&&,noost,images/symbols/symbol_69.png
10,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_3.png
11,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_13.png
12,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_35.png
13,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_55.png
14,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_28.png
15,nonword,,&&&&&,foald,images/symbols/symbol_16.png
16,care.virtue,left,&&&&&&,growth,images/symbols/symbol_49.png
17,fairness.virtue,left,&&&&,fair,images/symbols/symbol_2.png
18,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_9.png
19,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_34.png
20,care.virtue,left,&&&&,safe,images/symbols/symbol_14.png
21,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_67.png
22,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_24.png
23,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_31.png
24,fairness.vice,right,&&&&,hate,images/symbols/symbol_61.png
25,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_77.png
26,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_18.png
27,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_20.png
28,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_10.png
29,nonword,,&&&&&&,clorze,images/symbols/symbol_63.png
30,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_33.png
31,loyalty.vice,right,&&&&&,black,images/symbols/symbol_36.png
32,care.vice,right,&&&&,died,images/symbols/symbol_74.png
33,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_25.png
34,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_11.png
35,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_78.png
36,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_27.png
37,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_56.png
38,nonword,,&&&&&,cifte,images/symbols/symbol_52.png
39,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_45.png
40,authority.vice,right,&&&&,riot,images/symbols/symbol_79.png
41,nonword,,&&&&&&,dighnd,images/symbols/symbol_22.png
42,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_23.png
43,care.vice,right,&&&&&&,victim,images/symbols/symbol_72.png
44,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_41.png
45,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_58.png
46,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_38.png
47,control,right,&&&&&&&,pleasant,images/symbols/symbol_60.png
48,nonword,,&&&&&&,crarft,images/symbols/symbol_15.png
49,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_8.png
50,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_76.png
51,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_66.png
52,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_47.png
53,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_1.png
54,sanctity.vice,right,&&&&,fear,images/symbols/symbol_73.png
55,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_43.png
56,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_44.png
57,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_7.png
58,nonword,,&&&&&&,shypse,images/symbols/symbol_53.png
59,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_54.png
60,care.virtue,left,&&&&&&,health,images/symbols/symbol_4.png
61,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_40.png
62,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_62.png
63,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_57.png
64,care.virtue,left,&&&&,care,images/symbols/symbol_59.png
65,nonword,,&&&&&,treas,images/symbols/symbol_17.png
66,care.vice,right,&&&&&&,killed,images/symbols/symbol_30.png
