,category,corr_ans,mask,words
0,care.virtue,left,&&&&,good
1,care.virtue,left,&&&&&,peace
2,care.virtue,left,&&&&&&&&&&,compassion
3,care.virtue,left,&&&&&&,safety
4,care.virtue,left,&&&&&&&&,increase
5,care.vice,left,&&&&&,death
6,care.vice,left,&&&&&&&,suicide
7,care.vice,left,&&&&&&&,torture
8,care.vice,left,&&&&&&&,injured
9,care.vice,left,&&&&,shot
10,fairness.virtue,left,&&&&,free
11,fairness.virtue,left,&&&&&&&&&,integrity
12,fairness.virtue,left,&&&&&&&&&,interests
13,fairness.virtue,left,&&&&&&,credit
14,fairness.virtue,left,&&&&&&&&&&&,opportunity
15,fairness.vice,left,&&&&&&&,illegal
16,fairness.vice,left,&&&&&,crime
17,fairness.vice,left,&&&&&&,prison
18,fairness.vice,left,&&&&&&&,charges
19,fairness.vice,left,&&&&&,voter
20,loyalty.virtue,left,&&&&,love
21,loyalty.virtue,left,&&&&&&&,friends
22,loyalty.virtue,left,&&&&&&&&,promised
23,loyalty.virtue,left,&&&&&&&,praised
24,loyalty.virtue,left,&&&&&&&,sharing
25,loyalty.vice,left,&&&,ban
26,loyalty.vice,left,&&&,men
27,loyalty.vice,left,&&&&,army
28,loyalty.vice,left,&&&&&&&&,betrayal
29,loyalty.vice,left,&&&&&&&,critics
30,authority.virtue,left,&&&&&&,useful
31,authority.virtue,left,&&&&&&,praise
32,authority.virtue,left,&&&&&&&&&&,celebrated
33,authority.virtue,left,&&&&&&&&,progress
34,authority.virtue,left,&&&&&&&&,peaceful
35,authority.vice,left,&&&&&&,police
36,authority.vice,left,&&&&&&&&,officers
37,authority.vice,left,&&&,gun
38,authority.vice,left,&&&&&&&,refused
39,authority.vice,left,&&&&&&&,arrests
40,sanctity.virtue,left,&&&&&&,values
41,sanctity.virtue,left,&&&&&&&,freedom
42,sanctity.virtue,left,&&&&&&&&&&,commitment
43,sanctity.virtue,left,&&&&&&&&,strength
44,sanctity.virtue,left,&&&&&&&,promote
45,sanctity.vice,left,&&&&&&,racist
46,sanctity.vice,left,&&&&&&,sexual
47,sanctity.vice,left,&&&&,drug
48,sanctity.vice,left,&&&&&&&,scandal
49,sanctity.vice,left,&&&&&&&&&&,corruption
50,neutral,left,&&&&&&&&,latterly
51,neutral,left,&&&&&&,hereby
52,neutral,left,&&&&&,forty
53,neutral,left,&&&&&&&&,although
54,neutral,left,&&&&&&&&&&,whereafter
55,neutral,left,&&&&,also
56,neutral,left,&&&&&&&&,wherever
57,neutral,left,&&&&&&,either
58,neutral,left,&&&&&,about
59,neutral,left,&&&&&&&&&&,everything
60,neutral,left,&&&&&,three
61,neutral,left,&&&&&,fifty
62,neutral,left,&&&&&,hence
63,neutral,left,&&&&&&,amount
64,neutral,left,&&&&&&,latter
65,neutral,left,&&&&&&&&,amoungst
