,category,corr_ans,words
0,nonword,right,snauz
1,care.vice,left,suspects
2,care.virtue,left,impressed
3,authority.virtue,right,honored
4,sanctity.virtue,left,wealth
5,sanctity.vice,left,hunger
6,sanctity.vice,left,gang
7,authority.vice,right,rebels
8,sanctity.vice,right,fear
9,care.vice,left,assault
10,nonword,right,cifte
11,loyalty.vice,left,coup
12,authority.vice,right,protesters
13,loyalty.virtue,left,passionate
14,loyalty.virtue,right,hope
15,fairness.vice,right,terrorists
16,nonword,right,treas
17,care.vice,right,killed
18,authority.virtue,right,trust
19,nonword,left,weild
20,nonword,right,shypse
21,authority.vice,right,prosecution
22,loyalty.virtue,right,strong
23,fairness.virtue,left,treat
24,care.virtue,left,caregivers
25,loyalty.virtue,right,intelligence
26,nonword,left,whoond
27,fairness.vice,left,poor
28,care.virtue,right,health
29,loyalty.vice,right,blamed
30,fairness.vice,right,accused
31,care.vice,left,bomb
32,fairness.vice,right,forced
33,loyalty.vice,left,city
34,sanctity.vice,right,harassment
35,loyalty.virtue,right,loyalty
36,loyalty.virtue,left,confidence
37,fairness.virtue,left,true
38,nonword,left,scylde
39,fairness.vice,left,crisis
40,care.virtue,right,care
41,authority.vice,right,rejected
42,loyalty.virtue,right,party
43,fairness.virtue,left,bureaus
44,loyalty.vice,right,groups
45,nonword,left,yacte
46,authority.vice,left,agents
47,sanctity.vice,right,war
48,care.vice,right,civilians
49,fairness.virtue,left,approval
50,fairness.vice,left,detention
51,loyalty.vice,left,rage
52,authority.vice,left,combat
53,nonword,right,noost
54,fairness.vice,right,fraud
55,sanctity.virtue,left,generosity
56,fairness.virtue,right,ensure
57,authority.virtue,right,powerful
58,fairness.virtue,right,protect
59,authority.virtue,left,easy
60,authority.vice,left,military
61,nonword,right,clorze
62,sanctity.virtue,right,faith
63,control,right,pleasant
64,nonword,left,kneighed
65,fairness.vice,left,immigrants
66,authority.virtue,left,appreciated
67,sanctity.virtue,right,respect
68,sanctity.vice,right,serial
69,loyalty.vice,right,slavery
70,authority.vice,right,riot
71,care.vice,left,wounded
72,nonword,left,queighld
73,sanctity.virtue,left,kind
74,loyalty.virtue,left,proud
75,loyalty.virtue,left,want
76,loyalty.vice,left,hostility
77,authority.virtue,right,embrace
78,sanctity.vice,left,heroin
79,loyalty.vice,right,troops
80,loyalty.vice,right,black
81,sanctity.vice,right,violations
82,authority.virtue,left,cabinets
83,fairness.virtue,right,promises
84,care.virtue,right,safe
85,nonword,left,staughld
86,nonword,right,wence
87,authority.virtue,left,build
88,care.virtue,left,expand
89,nonword,left,sloaze
90,fairness.virtue,right,win
91,sanctity.virtue,left,diet
92,care.vice,right,victim
93,authority.vice,left,authorities
94,sanctity.vice,left,enemies
95,nonword,left,phlaizz
96,authority.vice,right,fighters
97,nonword,left,sypht
98,care.vice,right,attacks
99,care.virtue,left,enjoy
