,word,category,correct_amp,correct_ldt
0,care,care.virtue,l,l
1,help,care.virtue,l,l
2,health,care.virtue,l,l
3,good,care.virtue,l,l
4,peace,care.virtue,l,l
5,safe,care.virtue,l,l
6,compassion,care.virtue,l,l
7,safety,care.virtue,l,l
8,improve,care.virtue,l,l
9,growth,care.virtue,l,l
10,increase,care.virtue,l,l
11,restore,care.virtue,l,l
12,killed,care.vice,r,l
13,death,care.vice,r,l
14,violence,care.vice,r,l
15,attacks,care.vice,r,l
16,civilians,care.vice,r,l
17,suicide,care.vice,r,l
18,died,care.vice,r,l
19,torture,care.vice,r,l
20,victims,care.vice,r,l
21,victim,care.vice,r,l
22,injured,care.vice,r,l
23,shot,care.vice,r,l
24,free,fairness.virtue,l,l
25,ensure,fairness.virtue,l,l
26,protect,fairness.virtue,l,l
27,benefit,fairness.virtue,l,l
28,integrity,fairness.virtue,l,l
29,interests,fairness.virtue,l,l
30,credit,fairness.virtue,l,l
31,agreement,fairness.virtue,l,l
32,opportunity,fairness.virtue,l,l
33,fair,fairness.virtue,l,l
34,win,fairness.virtue,l,l
35,promises,fairness.virtue,l,l
36,fraud,fairness.vice,r,l
37,illegal,fairness.vice,r,l
38,crime,fairness.vice,r,l
39,hate,fairness.vice,r,l
40,prison,fairness.vice,r,l
41,accused,fairness.vice,r,l
42,lies,fairness.vice,r,l
43,charges,fairness.vice,r,l
44,threatened,fairness.vice,r,l
45,voter,fairness.vice,r,l
46,forced,fairness.vice,r,l
47,terrorists,fairness.vice,r,l
48,support,loyalty.virtue,l,l
49,love,loyalty.virtue,l,l
50,intelligence,loyalty.virtue,l,l
51,strong,loyalty.virtue,l,l
52,friends,loyalty.virtue,l,l
53,party,loyalty.virtue,l,l
54,great,loyalty.virtue,l,l
55,loyalty,loyalty.virtue,l,l
56,hope,loyalty.virtue,l,l
57,promised,loyalty.virtue,l,l
58,praised,loyalty.virtue,l,l
59,sharing,loyalty.virtue,l,l
60,terrorist,loyalty.vice,r,l
61,ban,loyalty.vice,r,l
62,groups,loyalty.vice,r,l
63,failure,loyalty.vice,r,l
64,black,loyalty.vice,r,l
65,troops,loyalty.vice,r,l
66,slavery,loyalty.vice,r,l
67,blamed,loyalty.vice,r,l
68,men,loyalty.vice,r,l
69,army,loyalty.vice,r,l
70,betrayal,loyalty.vice,r,l
71,critics,loyalty.vice,r,l
72,trust,authority.virtue,l,l
73,useful,authority.virtue,l,l
74,actively,authority.virtue,l,l
75,embrace,authority.virtue,l,l
76,praise,authority.virtue,l,l
77,powerful,authority.virtue,l,l
78,honored,authority.virtue,l,l
79,celebrated,authority.virtue,l,l
80,ability,authority.virtue,l,l
81,progress,authority.virtue,l,l
